学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_per,C_dig,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,GE11122,知識情報演習II-2,71,0,0.0,18,25.4,47,66.2,1,1.4,5,7.0,18,25.4
秋学期,GE11212,知識情報演習III-1,68,3,4.4,15,22.1,28,41.2,16,23.5,6,8.8,18,26.5
秋学期,GE11222,知識情報演習III-2,59,7,11.9,9,15.3,34,57.6,8,13.6,1,1.7,16,27.1
秋学期,GE11512,専門英語A-1,35,8,22.9,9,25.7,12,34.3,3,8.6,3,8.6,17,48.6
秋学期,GE11522,専門英語A-2,26,6,23.1,10,38.5,2,7.7,6,23.1,2,7.7,16,61.5
秋学期,GE11532,専門英語A-3,35,2,5.7,16,45.7,16,45.7,1,2.9,0,0.0,18,51.4
秋学期,GE11542,専門英語A-4,12,1,8.3,4,33.3,7,58.3,0,0.0,0,0.0,5,41.7
秋学期,GE20101,情報システム概説,113,5,4.4,38,33.6,37,32.7,22,19.5,11,9.7,43,38.1
秋学期,GE20201,基礎数学A,126,20,15.9,37,29.4,12,9.5,20,15.9,37,29.4,57,45.2
春学期,GE20301,基礎数学B,15,1,6.7,1,6.7,1,6.7,6,40.0,6,40.0,2,13.3
秋学期,GE20401,量的調査法,99,3,3.0,11,11.1,39,39.4,28,28.3,18,18.2,14,14.1
秋学期,GE20511,多変量解析,70,1,1.4,9,12.9,30,42.9,12,17.1,18,25.7,10,14.3
春学期,GE20601,情報探索論,131,16,12.2,22,16.8,30,22.9,32,24.4,31,23.7,38,29.0
秋学期,GE20701,質的調査法,117,2,1.7,39,33.3,53,45.3,12,10.3,11,9.4,41,35.0
春学期,GE20801,情報行動論,99,4,4.0,15,15.2,26,26.3,26,26.3,28,28.3,19,19.2
春学期,GE20901,知識発見基礎論,106,6,5.7,27,25.5,40,37.7,16,15.1,17,16.0,33,31.1
春学期,GE21001,知識資源組織化論,116,9,7.8,36,31.0,53,45.7,9,7.8,9,7.8,45,38.8
春学期,GE21101,データベース概説,108,14,13.0,28,25.9,44,40.7,19,17.6,3,2.8,42,38.9
秋学期,GE21201,コンピュータシステムとネットワーク,95,5,5.3,25,26.3,29,30.5,24,25.3,12,12.6,30,31.6
秋学期,GE21301,自然言語解析基礎,105,8,7.6,31,29.5,40,38.1,15,14.3,11,10.5,39,37.1
春学期,GE21401,メディア社会学,123,19,15.4,26,21.1,54,43.9,15,12.2,9,7.3,45,36.6
秋学期,GE21601,公共経済学,120,10,8.3,31,25.8,36,30.0,33,27.5,10,8.3,41,34.2
秋学期,GE21701,生涯学習と図書館,96,12,12.5,23,24.0,28,29.2,19,19.8,14,14.6,35,36.5
秋学期,GE21812,テクスト解釈-1,17,2,11.8,5,29.4,9,52.9,0,0.0,1,5.9,7,41.2
春学期,GE21822,テクスト解釈-2,13,1,7.7,4,30.8,5,38.5,0,0.0,3,23.1,5,38.5
秋学期,GE21832,テクスト解釈-3,75,0,0.0,34,45.3,33,44.0,6,8.0,2,2.7,34,45.3
春学期,GE22001,図書館概論,140,4,2.9,50,35.7,68,48.6,13,9.3,5,3.6,54,38.6
春学期,GE22101,経営・組織論,101,0,0.0,20,19.8,34,33.7,41,40.6,6,5.9,20,19.8
春学期,GE40201,学習指導と学校図書館,40,1,2.5,17,42.5,15,37.5,4,10.0,3,7.5,18,45.0
秋学期,GE40301,学校図書館メディアの構成,40,6,15.0,17,42.5,7,17.5,7,17.5,3,7.5,23,57.5
春学期,GE40401,読書と豊かな人間性,105,5,4.8,35,33.3,45,42.9,16,15.2,4,3.8,40,38.1
秋学期,GE40501,情報メディアの活用,36,1,2.8,3,8.3,22,61.1,4,11.1,6,16.7,4,11.1
春学期,GE40603,インターンシップ,44,6,13.6,33,75.0,5,11.4,0,0.0,0,0.0,39,88.6
春学期,GE50501,知識情報特論III,113,0,0.0,71,62.8,34,30.1,7,6.2,1,0.9,71,62.8
秋学期,GE50601,知識情報特論IV,114,0,0.0,75,65.8,22,19.3,12,10.5,5,4.4,75,65.8
春学期,GE50712,専門英語B-1,36,2,5.6,12,33.3,18,50.0,1,2.8,3,8.3,14,38.9
春学期,GE50722,専門英語B-2,37,4,10.8,12,32.4,12,32.4,9,24.3,0,0.0,16,43.2
春学期,GE50732,専門英語B-3,52,1,1.9,2,3.8,35,67.3,14,26.9,0,0.0,3,5.8
秋学期,GE50812,専門英語C-1,32,14,43.8,14,43.8,2,6.3,1,3.1,1,3.1,28,87.5
秋学期,GE50822,専門英語C-2,42,2,4.8,17,40.5,14,33.3,7,16.7,2,4.8,19,45.2
秋学期,GE50832,専門英語C-3,52,2,3.8,10,19.2,22,42.3,17,32.7,1,1.9,12,23.1
秋学期,GE51018,卒業研究,120,36,30.0,64,53.3,7,5.8,4,3.3,9,7.5,100,83.3
秋学期,GE60103,知識科学実習,30,3,10.0,16,53.3,8,26.7,2,6.7,1,3.3,19,63.3
春学期,GE60201,テクニカルコミュニケーション,77,10,13.0,15,19.5,40,51.9,9,11.7,3,3.9,25,32.5
春学期,GE60501,知識論,29,5,17.2,5,17.2,9,31.0,7,24.1,3,10.3,10,34.5
秋学期,GE60601,知識形成論,44,5,11.4,10,22.7,18,40.9,7,15.9,4,9.1,15,34.1
春学期,GE60701,レファレンスサイエンス,11,1,9.1,1,9.1,6,54.5,0,0.0,3,27.3,2,18.2
春学期,GE60801,学術メディア論,31,5,16.1,4,12.9,9,29.0,7,22.6,6,19.4,9,29.0
秋学期,GE61001,コミュニティ情報論,37,5,13.5,7,18.9,13,35.1,8,21.6,4,10.8,12,32.4
秋学期,GE61101,図書館建築論,102,34,33.3,36,35.3,19,18.6,6,5.9,7,6.9,70,68.6
秋学期,GE61201,知識構造化法,38,0,0.0,4,10.5,10,26.3,3,7.9,21,55.3,4,10.5
春学期,GE61301,情報評価,52,3,5.8,17,32.7,24,46.2,3,5.8,5,9.6,20,38.5
秋学期,GE61501,データマイニング,30,0,0.0,12,40.0,8,26.7,5,16.7,5,16.7,12,40.0
春学期,GE61701,サイエンスコミュニケーション,26,2,7.7,6,23.1,10,38.5,5,19.2,3,11.5,8,30.8
春学期,GE62001,生命情報学,23,4,17.4,4,17.4,4,17.4,6,26.1,5,21.7,8,34.8
春学期,GE62101,知識コミュニケーション,41,3,7.3,12,29.3,18,43.9,7,17.1,1,2.4,15,36.6
秋学期,GE62201,メディア社会文化論,43,5,11.6,6,14.0,19,44.2,6,14.0,7,16.3,11,25.6
秋学期,GE62301,ソーシャルメディア分析,14,0,0.0,2,14.3,7,50.0,1,7.1,4,28.6,2,14.3
秋学期,GE70103,知識情報システム実習,39,5,12.8,18,46.2,15,38.5,1,2.6,0,0.0,23,59.0
春学期,GE70201,情報サービスシステム,27,0,0.0,7,25.9,17,63.0,1,3.7,2,7.4,7,25.9
春学期,GE70301,ディジタルドキュメント,102,7,6.9,40,39.2,23,22.5,23,22.5,9,8.8,47,46.1
秋学期,GE70401,ディジタルライブラリ,62,5,8.1,10,16.1,15,24.2,15,24.2,17,27.4,15,24.2
春学期,GE70501,情報検索システム,66,6,9.1,20,30.3,21,31.8,14,21.2,5,7.6,26,39.4
春学期,GE70601,Webプログラミング,41,2,4.9,7,17.1,12,29.3,8,19.5,12,29.3,9,22.0
秋学期,GE70701,マルチメディアシステム,23,4,17.4,4,17.4,7,30.4,4,17.4,4,17.4,8,34.8
春学期,GE70801,データ表現と処理,40,4,10.0,5,12.5,29,72.5,1,2.5,1,2.5,9,22.5
秋学期,GE70901,データベース技術,32,2,6.3,7,21.9,9,28.1,9,28.1,5,15.6,9,28.1
春学期,GE71001,情報デザインとインタフェース,30,5,16.7,12,40.0,9,30.0,1,3.3,3,10.0,17,56.7
春学期,GE71201,知識資源の分析,33,4,12.1,8,24.2,13,39.4,5,15.2,3,9.1,12,36.4
秋学期,GE71301,知識資源の記述,15,0,0.0,13,86.7,1,6.7,0,0.0,1,6.7,13,86.7
秋学期,GE71501,クラウドコンピューティング,33,5,15.2,10,30.3,12,36.4,1,3.0,5,15.2,15,45.5
秋学期,GE71701,テキスト処理,18,2,11.1,5,27.8,7,38.9,2,11.1,2,11.1,7,38.9
秋学期,GE71801,データ構造とアルゴリズム,8,0,0.0,3,37.5,1,12.5,2,25.0,2,25.0,3,37.5
秋学期,GE72001,ソフトウェア工学,35,8,22.9,8,22.9,17,48.6,2,5.7,0,0.0,16,45.7
秋学期,GE72201,アーカイブズの利用,44,6,13.6,6,13.6,16,36.4,9,20.5,7,15.9,12,27.3
秋学期,GE72402,ディジタルキュレーション,9,0,0.0,5,55.6,0,0.0,1,11.1,3,33.3,5,55.6
春学期,GE72501,メディアアート,9,0,0.0,8,88.9,0,0.0,0,0.0,1,11.1,8,88.9
秋学期,GE80103,情報資源経営実習,54,1,1.9,28,51.9,21,38.9,1,1.9,3,5.6,29,53.7
秋学期,GE80201,図書館論,50,5,10.0,12,24.0,26,52.0,0,0.0,7,14.0,17,34.0
春学期,GE80301,学術情報基盤論,30,0,0.0,12,40.0,12,40.0,2,6.7,4,13.3,12,40.0
春学期,GE80401,経営情報システム論,30,2,6.7,14,46.7,9,30.0,1,3.3,4,13.3,16,53.3
春学期,GE80501,情報サービス経営論,114,3,2.6,26,22.8,37,32.5,38,33.3,10,8.8,29,25.4
秋学期,GE80801,情報サービス構成論,45,0,0.0,7,15.6,27,60.0,10,22.2,1,2.2,7,15.6
秋学期,GE80901,コレクションとアクセス,107,4,3.7,37,34.6,44,41.1,17,15.9,5,4.7,41,38.3
春学期,GE81001,教育文化政策,31,3,9.7,10,32.3,8,25.8,7,22.6,3,9.7,13,41.9
秋学期,GE81201,学校図書館論,51,0,0.0,20,39.2,25,49.0,2,3.9,4,7.8,20,39.2
春学期,GE81301,情報法,33,7,21.2,8,24.2,9,27.3,7,21.2,2,6.1,15,45.5
秋学期,GE81401,知的財産権論A,21,2,9.5,12,57.1,4,19.0,3,14.3,0,0.0,14,66.7
秋学期,GE81901,図書館文化史論,64,3,4.7,19,29.7,23,35.9,16,25.0,3,4.7,22,34.4
秋学期,GE82001,中国図書学,40,4,10.0,17,42.5,17,42.5,0,0.0,2,5.0,21,52.5
春学期,GE82101,日本図書学,58,0,0.0,23,39.7,30,51.7,3,5.2,2,3.4,23,39.7
春学期,GE82201,アーカイブズの構築,63,1,1.6,16,25.4,27,42.9,13,20.6,6,9.5,17,27.0
秋学期,GE82501,映像メディア論,122,5,4.1,54,44.3,50,41.0,6,4.9,7,5.7,59,48.4
秋学期,GE82601,パブリックガバナンス,108,7,6.5,17,15.7,52,48.1,28,25.9,4,3.7,24,22.2
