学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
春学期,GE11012,知識情報演習I-1,75,0.0,0.0,13.0,17.3,41.0,54.7,13.0,17.3,8.0,10.7,13.0,17.3
春学期,GE11022,知識情報演習I-2,62,0.0,0.0,16.0,25.8,44.0,71.0,0.0,0.0,2.0,3.2,16.0,25.8
秋学期,GE11112,知識情報演習II-1,69,2.0,2.9,16.0,23.2,41.0,59.4,8.0,11.6,2.0,2.9,18.0,26.1
秋学期,GE11122,知識情報演習II-2,70,2.0,2.9,21.0,30.0,36.0,51.4,6.0,8.6,5.0,7.1,23.0,32.9
秋学期,GE11212,知識情報演習III-1,73,9.0,12.3,18.0,24.7,24.0,32.9,12.0,16.4,10.0,13.7,27.0,37.0
秋学期,GE11222,知識情報演習III-2,69,9.0,13.0,18.0,26.1,22.0,31.9,13.0,18.8,7.0,10.1,27.0,39.1
秋学期,GE11512,専門英語A-1,11,1.0,9.1,5.0,45.5,4.0,36.4,0.0,0.0,1.0,9.1,6.0,54.5
秋学期,GE11522,専門英語A-2,26,0.0,0.0,9.0,34.6,12.0,46.2,3.0,11.5,2.0,7.7,9.0,34.6
秋学期,GE11532,専門英語A-3,49,9.0,18.4,11.0,22.4,13.0,26.5,11.0,22.4,5.0,10.2,20.0,40.8
秋学期,GE11542,専門英語A-4,32,6.0,18.8,8.0,25.0,6.0,18.8,9.0,28.1,3.0,9.4,14.0,43.8
秋学期,GE20101,情報システム概説,103,6.0,5.8,25.0,24.3,37.0,35.9,23.0,22.3,12.0,11.7,31.0,30.1
秋学期,GE20201,基礎数学A,115,0.0,0.0,16.0,13.9,28.0,24.3,43.0,37.4,28.0,24.3,16.0,13.9
春学期,GE20301,基礎数学B,13,0.0,0.0,1.0,7.7,4.0,30.8,2.0,15.4,6.0,46.2,1.0,7.7
秋学期,GE20401,量的調査法,115,3.0,2.6,19.0,16.5,29.0,25.2,34.0,29.6,30.0,26.1,22.0,19.1
秋学期,GE20501,多変量解析-1,88,0.0,0.0,6.0,6.8,24.0,27.3,49.0,55.7,9.0,10.2,6.0,6.8
秋学期,GE20701,質的調査法,94,3.0,3.2,26.0,27.7,43.0,45.7,14.0,14.9,8.0,8.5,29.0,30.9
秋学期,GE20801,情報行動論,101,8.0,7.9,18.0,17.8,34.0,33.7,19.0,18.8,22.0,21.8,26.0,25.7
春学期,GE20901,知識発見基礎論,111,8.0,7.2,23.0,20.7,31.0,27.9,28.0,25.2,21.0,18.9,31.0,27.9
春学期,GE21001,知識資源組織化論,110,18.0,16.4,23.0,20.9,31.0,28.2,28.0,25.5,10.0,9.1,41.0,37.3
春学期,GE21101,データベース概説,101,12.0,11.9,34.0,33.7,41.0,40.6,12.0,11.9,2.0,2.0,46.0,45.5
秋学期,GE21201,コンピュータシステムとネットワーク,92,7.0,7.6,22.0,23.9,24.0,26.1,22.0,23.9,17.0,18.5,29.0,31.5
秋学期,GE21301,自然言語解析基礎,99,3.0,3.0,39.0,39.4,29.0,29.3,17.0,17.2,11.0,11.1,42.0,42.4
春学期,GE21401,メディア社会学,135,27.0,20.0,38.0,28.1,47.0,34.8,15.0,11.1,8.0,5.9,65.0,48.1
春学期,GE21501,経営・組織論,108,9.0,8.3,34.0,31.5,35.0,32.4,28.0,25.9,2.0,1.9,43.0,39.8
秋学期,GE21601,公共経済学,107,26.0,24.3,31.0,29.0,34.0,31.8,10.0,9.3,6.0,5.6,57.0,53.3
秋学期,GE21701,生涯学習と図書館,115,4.0,3.5,45.0,39.1,52.0,45.2,10.0,8.7,4.0,3.5,49.0,42.6
秋学期,GE21812,テクスト解釈-1,30,0.0,0.0,18.0,60.0,10.0,33.3,0.0,0.0,2.0,6.7,18.0,60.0
春学期,GE21822,テクスト解釈-2,25,4.0,16.0,11.0,44.0,7.0,28.0,2.0,8.0,1.0,4.0,15.0,60.0
秋学期,GE21832,テクスト解釈-3,38,7.0,18.4,8.0,21.1,14.0,36.8,7.0,18.4,2.0,5.3,15.0,39.5
春学期,GE22001,図書館概論,118,2.0,1.7,60.0,50.8,39.0,33.1,14.0,11.9,3.0,2.5,62.0,52.5
春学期,GE40201,学習指導と学校図書館,57,1.0,1.8,22.0,38.6,23.0,40.4,3.0,5.3,8.0,14.0,23.0,40.4
秋学期,GE40301,学校図書館メディアの構成,39,4.0,10.3,15.0,38.5,9.0,23.1,6.0,15.4,5.0,12.8,19.0,48.7
春学期,GE40401,読書と豊かな人間性,116,0.0,0.0,36.0,31.0,56.0,48.3,16.0,13.8,8.0,6.9,36.0,31.0
秋学期,GE40501,情報メディアの活用,50,3.0,6.0,11.0,22.0,26.0,52.0,4.0,8.0,6.0,12.0,14.0,28.0
春学期,GE40603,インターンシップ,48,0.0,0.0,33.0,68.8,15.0,31.3,0.0,0.0,0.0,0.0,33.0,68.8
春学期,GE50301,知識情報特論I,113,0.0,0.0,80.0,70.8,19.0,16.8,14.0,12.4,0.0,0.0,80.0,70.8
秋学期,GE50401,知識情報特論II,114,0.0,0.0,81.0,71.1,23.0,20.2,7.0,6.1,3.0,2.6,81.0,71.1
春学期,GE50712,専門英語B-1,34,1.0,2.9,12.0,35.3,16.0,47.1,4.0,11.8,1.0,2.9,13.0,38.2
春学期,GE50722,専門英語B-2,20,3.0,15.0,7.0,35.0,9.0,45.0,0.0,0.0,1.0,5.0,10.0,50.0
春学期,GE50732,専門英語B-3,62,5.0,8.1,39.0,62.9,10.0,16.1,6.0,9.7,2.0,3.2,44.0,71.0
秋学期,GE50812,専門英語C-1,36,1.0,2.8,9.0,25.0,16.0,44.4,7.0,19.4,3.0,8.3,10.0,27.8
秋学期,GE50822,専門英語C-2,35,0.0,0.0,4.0,11.4,16.0,45.7,7.0,20.0,8.0,22.9,4.0,11.4
秋学期,GE50832,専門英語C-3,49,0.0,0.0,30.0,61.2,16.0,32.7,3.0,6.1,0.0,0.0,30.0,61.2
秋学期,GE51018,卒業研究,116,27.0,23.3,71.0,61.2,5.0,4.3,9.0,7.8,4.0,3.4,98.0,84.5
秋学期,GE60103,知識科学実習,36,0.0,0.0,15.0,41.7,14.0,38.9,2.0,5.6,5.0,13.9,15.0,41.7
春学期,GE60201,テクニカルコミュニケーション,82,10.0,12.2,20.0,24.4,42.0,51.2,7.0,8.5,3.0,3.7,30.0,36.6
秋学期,GE60301,医療情報論,42,9.0,21.4,5.0,11.9,15.0,35.7,2.0,4.8,11.0,26.2,14.0,33.3
春学期,GE60401,特許情報論,69,8.0,11.6,10.0,14.5,20.0,29.0,14.0,20.3,17.0,24.6,18.0,26.1
春学期,GE60501,知識論,37,4.0,10.8,12.0,32.4,5.0,13.5,9.0,24.3,7.0,18.9,16.0,43.2
春学期,GE60701,レファレンスサイエンス,12,1.0,8.3,2.0,16.7,3.0,25.0,2.0,16.7,4.0,33.3,3.0,25.0
春学期,GE60801,学術メディア論,48,7.0,14.6,6.0,12.5,8.0,16.7,12.0,25.0,15.0,31.3,13.0,27.1
秋学期,GE61001,コミュニティ情報論,41,7.0,17.1,10.0,24.4,10.0,24.4,8.0,19.5,6.0,14.6,17.0,41.5
春学期,GE61101,図書館建築論,87,10.0,11.5,21.0,24.1,26.0,29.9,23.0,26.4,7.0,8.0,31.0,35.6
秋学期,GE61201,知識構造化法,18,10.0,55.6,2.0,11.1,1.0,5.6,0.0,0.0,5.0,27.8,12.0,66.7
春学期,GE61301,情報評価,50,2.0,4.0,17.0,34.0,20.0,40.0,7.0,14.0,4.0,8.0,19.0,38.0
秋学期,GE61501,データマイニング,25,0.0,0.0,6.0,24.0,7.0,28.0,2.0,8.0,10.0,40.0,6.0,24.0
秋学期,GE61601,ソフトコンピューティング,13,5.0,38.5,1.0,7.7,4.0,30.8,3.0,23.1,0.0,0.0,6.0,46.2
春学期,GE61701,サイエンスコミュニケーション,26,3.0,11.5,7.0,26.9,5.0,19.2,4.0,15.4,7.0,26.9,10.0,38.5
春学期,GE62001,生命情報学,24,2.0,8.3,5.0,20.8,4.0,16.7,7.0,29.2,6.0,25.0,7.0,29.2
春学期,GE62101,知識コミュニケーション,41,4.0,9.8,13.0,31.7,14.0,34.1,6.0,14.6,4.0,9.8,17.0,41.5
秋学期,GE70103,知識情報システム実習,31,7.0,22.6,19.0,61.3,4.0,12.9,1.0,3.2,0.0,0.0,26.0,83.9
春学期,GE70201,情報サービスシステム,22,0.0,0.0,6.0,27.3,8.0,36.4,6.0,27.3,2.0,9.1,6.0,27.3
春学期,GE70301,ディジタルドキュメント,123,6.0,4.9,69.0,56.1,34.0,27.6,3.0,2.4,11.0,8.9,75.0,61.0
秋学期,GE70401,ディジタルライブラリ,44,3.0,6.8,12.0,27.3,16.0,36.4,8.0,18.2,5.0,11.4,15.0,34.1
春学期,GE70501,情報検索システム,42,4.0,9.5,16.0,38.1,12.0,28.6,2.0,4.8,8.0,19.0,20.0,47.6
春学期,GE70601,Webプログラミング,27,0.0,0.0,7.0,25.9,10.0,37.0,6.0,22.2,4.0,14.8,7.0,25.9
秋学期,GE70701,マルチメディアシステム,18,1.0,5.6,6.0,33.3,3.0,16.7,3.0,16.7,5.0,27.8,7.0,38.9
春学期,GE70801,データ表現と処理,38,5.0,13.2,5.0,13.2,26.0,68.4,1.0,2.6,1.0,2.6,10.0,26.3
秋学期,GE70901,データベース技術,28,4.0,14.3,15.0,53.6,8.0,28.6,1.0,3.6,0.0,0.0,19.0,67.9
春学期,GE71001,情報デザインとインタフェース,12,0.0,0.0,6.0,50.0,4.0,33.3,0.0,0.0,2.0,16.7,6.0,50.0
春学期,GE71201,知識資源の分析,17,5.0,29.4,2.0,11.8,6.0,35.3,0.0,0.0,4.0,23.5,7.0,41.2
秋学期,GE71301,知識資源の記述,11,0.0,0.0,8.0,72.7,3.0,27.3,0.0,0.0,0.0,0.0,8.0,72.7
春学期,GE71401,知識資源の用語管理,22,5.0,22.7,7.0,31.8,4.0,18.2,3.0,13.6,3.0,13.6,12.0,54.5
秋学期,GE71501,クラウドコンピューティング,23,9.0,39.1,6.0,26.1,5.0,21.7,2.0,8.7,1.0,4.3,15.0,65.2
秋学期,GE71701,テキスト処理,27,3.0,11.1,6.0,22.2,8.0,29.6,6.0,22.2,4.0,14.8,9.0,33.3
秋学期,GE71801,データ構造とアルゴリズム,9,1.0,11.1,2.0,22.2,3.0,33.3,1.0,11.1,2.0,22.2,3.0,33.3
春学期,GE72001,ソフトウェア工学,22,2.0,9.1,6.0,27.3,7.0,31.8,5.0,22.7,2.0,9.1,8.0,36.4
秋学期,GE72201,アーカイブズの利用,19,4.0,21.1,8.0,42.1,6.0,31.6,1.0,5.3,0.0,0.0,12.0,63.2
秋学期,GE80103,情報経営・図書館実習,51,3.0,5.9,31.0,60.8,17.0,33.3,0.0,0.0,0.0,0.0,34.0,66.7
秋学期,GE80201,図書館論,59,2.0,3.4,16.0,27.1,32.0,54.2,1.0,1.7,8.0,13.6,18.0,30.5
春学期,GE80301,学術情報基盤論,26,0.0,0.0,10.0,38.5,13.0,50.0,1.0,3.8,2.0,7.7,10.0,38.5
秋学期,GE80401,経営情報システム論,38,0.0,0.0,21.0,55.3,1.0,2.6,0.0,0.0,16.0,42.1,21.0,55.3
春学期,GE80501,情報サービス経営論,113,14.0,12.4,26.0,23.0,30.0,26.5,33.0,29.2,10.0,8.8,40.0,35.4
春学期,GE80601,情報経済論,23,0.0,0.0,5.0,21.7,6.0,26.1,9.0,39.1,3.0,13.0,5.0,21.7
春学期,GE80701,パブリックガバナンス論,33,0.0,0.0,11.0,33.3,15.0,45.5,6.0,18.2,1.0,3.0,11.0,33.3
秋学期,GE80801,情報サービス構成論,41,0.0,0.0,9.0,22.0,24.0,58.5,5.0,12.2,3.0,7.3,9.0,22.0
秋学期,GE80901,コレクションとアクセス,99,5.0,5.1,39.0,39.4,36.0,36.4,12.0,12.1,7.0,7.1,44.0,44.4
春学期,GE81001,教育文化政策,27,0.0,0.0,12.0,44.4,5.0,18.5,3.0,11.1,7.0,25.9,12.0,44.4
秋学期,GE81101,メディア教育の実践と評価,31,0.0,0.0,11.0,35.5,10.0,32.3,8.0,25.8,2.0,6.5,11.0,35.5
秋学期,GE81201,学校図書館論,51,2.0,3.9,25.0,49.0,16.0,31.4,6.0,11.8,2.0,3.9,27.0,52.9
春学期,GE81301,情報法,44,7.0,15.9,10.0,22.7,14.0,31.8,9.0,20.5,4.0,9.1,17.0,38.6
春学期,GE81401,知的財産権論A,33,4.0,12.1,22.0,66.7,5.0,15.2,0.0,0.0,2.0,6.1,26.0,78.8
秋学期,GE81501,知的財産権論B,13,2.0,15.4,11.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,100.0
秋学期,GE81601,図書館情報法制度論,93,2.0,2.2,40.0,43.0,36.0,38.7,13.0,14.0,2.0,2.2,42.0,45.2
秋学期,GE81701,メディア社会文化論,82,12.0,14.6,21.0,25.6,27.0,32.9,9.0,11.0,13.0,15.9,33.0,40.2
秋学期,GE81901,図書館文化史論,55,9.0,16.4,19.0,34.5,14.0,25.5,10.0,18.2,3.0,5.5,28.0,50.9
秋学期,GE82001,中国図書学,22,1.0,4.5,11.0,50.0,9.0,40.9,0.0,0.0,1.0,4.5,12.0,54.5
春学期,GE82101,日本図書学,49,0.0,0.0,21.0,42.9,21.0,42.9,5.0,10.2,2.0,4.1,21.0,42.9
春学期,GE82201,アーカイブズ学,45,3.0,6.7,15.0,33.3,21.0,46.7,2.0,4.4,4.0,8.9,18.0,40.0
