学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_per,C_dig,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,GE50822,専門英語C-2,22,1,4.5,6,27.3,6,27.3,9,40.9,0,0.0,7,31.8
秋学期,GE50832,専門英語C-3,63,2,3.2,16,25.4,25,39.7,17,27.0,3,4.8,18,28.6
秋学期,GE51018,卒業研究,113,35,31.0,58,51.3,10,8.8,6,5.3,4,3.5,93,82.3
秋学期,GE60103,知識科学実習,42,3,7.1,19,45.2,14,33.3,3,7.1,3,7.1,22,52.4
春学期,GE60201,テクニカルコミュニケーション,76,7,9.2,41,53.9,21,27.6,5,6.6,2,2.6,48,63.2
秋学期,GE60301,医療情報論,54,5,9.3,12,22.2,12,22.2,15,27.8,10,18.5,17,31.5
春学期,GE60501,知識論,45,5,11.1,18,40.0,14,31.1,7,15.6,1,2.2,23,51.1
春学期,GE60701,レファレンスサイエンス,10,2,20.0,4,40.0,2,20.0,1,10.0,1,10.0,6,60.0
春学期,GE60801,学術メディア論,52,0,0.0,6,11.5,19,36.5,16,30.8,11,21.2,6,11.5
秋学期,GE61001,コミュニティ情報論,48,11,22.9,8,16.7,20,41.7,6,12.5,3,6.3,19,39.6
秋学期,GE61201,知識構造化法,33,6,18.2,9,27.3,5,15.2,1,3.0,12,36.4,15,45.5
春学期,GE61301,情報評価,64,2,3.1,20,31.3,35,54.7,4,6.3,3,4.7,22,34.4
秋学期,GE61501,データマイニング,22,0,0.0,10,45.5,6,27.3,3,13.6,3,13.6,10,45.5
春学期,GE61701,サイエンスコミュニケーション,28,4,14.3,6,21.4,10,35.7,4,14.3,4,14.3,10,35.7
春学期,GE62001,生命情報学,25,3,12.0,4,16.0,5,20.0,7,28.0,6,24.0,7,28.0
春学期,GE62101,知識コミュニケーション,59,0,0.0,14,23.7,22,37.3,17,28.8,6,10.2,14,23.7
秋学期,GE62201,メディア社会文化論,66,14,21.2,11,16.7,22,33.3,10,15.2,9,13.6,25,37.9
秋学期,GE62301,ソーシャルメディア分析,31,1,3.2,5,16.1,13,41.9,2,6.5,10,32.3,6,19.4
秋学期,GE70103,知識情報システム実習,26,6,23.1,14,53.8,6,23.1,0,0.0,0,0.0,20,76.9
春学期,GE70201,情報サービスシステム,25,1,4.0,3,12.0,9,36.0,9,36.0,3,12.0,4,16.0
春学期,GE70301,ディジタルドキュメント,100,0,0.0,37,37.0,46,46.0,12,12.0,5,5.0,37,37.0
秋学期,GE70401,ディジタルライブラリ,50,3,6.0,7,14.0,23,46.0,12,24.0,5,10.0,10,20.0
春学期,GE70501,情報検索システム,71,4,5.6,25,35.2,18,25.4,13,18.3,11,15.5,29,40.8
春学期,GE70601,Webプログラミング,36,3,8.3,8,22.2,14,38.9,3,8.3,8,22.2,11,30.6
秋学期,GE70701,マルチメディアシステム,18,2,11.1,7,38.9,5,27.8,1,5.6,3,16.7,9,50.0
春学期,GE70801,データ表現と処理,31,7,22.6,8,25.8,13,41.9,1,3.2,2,6.5,15,48.4
秋学期,GE70901,データベース技術,25,2,8.0,11,44.0,7,28.0,2,8.0,3,12.0,13,52.0
春学期,GE71001,情報デザインとインタフェース,25,0,0.0,12,48.0,10,40.0,0,0.0,3,12.0,12,48.0
春学期,GE71201,知識資源の分析,21,3,14.3,5,23.8,7,33.3,3,14.3,3,14.3,8,38.1
秋学期,GE71301,知識資源の記述,19,2,10.5,10,52.6,5,26.3,0,0.0,2,10.5,12,63.2
春学期,GE71401,知識資源の用語管理,38,9,23.7,11,28.9,8,21.1,5,13.2,5,13.2,20,52.6
秋学期,GE71501,クラウドコンピューティング,23,3,13.0,5,21.7,14,60.9,0,0.0,1,4.3,8,34.8
秋学期,GE71701,テキスト処理,21,3,14.3,7,33.3,6,28.6,2,9.5,3,14.3,10,47.6
秋学期,GE72001,ソフトウェア工学,31,6,19.4,11,35.5,8,25.8,3,9.7,3,9.7,17,54.8
秋学期,GE72201,アーカイブズの利用,34,4,11.8,11,32.4,9,26.5,3,8.8,7,20.6,15,44.1
秋学期,GE72402,ディジタルキュレーション,6,1,16.7,3,50.0,2,33.3,0,0.0,0,0.0,4,66.7
秋学期,GE80103,情報資源経営実習,54,2,3.7,25,46.3,26,48.1,0,0.0,1,1.9,27,50.0
秋学期,GE80201,図書館論,53,5,9.4,15,28.3,23,43.4,5,9.4,5,9.4,20,37.7
春学期,GE80301,学術情報基盤論,19,0,0.0,8,42.1,8,42.1,2,10.5,1,5.3,8,42.1
春学期,GE80401,経営情報システム論,15,2,13.3,8,53.3,3,20.0,0,0.0,2,13.3,10,66.7
春学期,GE80501,情報サービス経営論,89,10,11.2,24,27.0,36,40.4,8,9.0,11,12.4,34,38.2
春学期,GE80601,情報経済論,47,0,0.0,25,53.2,18,38.3,0,0.0,4,8.5,25,53.2
春学期,GE80701,パブリックガバナンス論,51,31,60.8,5,9.8,6,11.8,4,7.8,5,9.8,36,70.6
秋学期,GE80801,情報サービス構成論,36,0,0.0,7,19.4,22,61.1,6,16.7,1,2.8,7,19.4
秋学期,GE80901,コレクションとアクセス,103,2,1.9,47,45.6,38,36.9,11,10.7,5,4.9,49,47.6
春学期,GE81001,教育文化政策,18,1,5.6,8,44.4,6,33.3,0,0.0,3,16.7,9,50.0
秋学期,GE81101,メディア教育の実践と評価,33,0,0.0,10,30.3,11,33.3,9,27.3,3,9.1,10,30.3
秋学期,GE81201,学校図書館論,33,0,0.0,16,48.5,14,42.4,0,0.0,3,9.1,16,48.5
春学期,GE81301,情報法,22,1,4.5,4,18.2,8,36.4,7,31.8,2,9.1,5,22.7
春学期,GE81401,知的財産権論A,22,1,4.5,8,36.4,10,45.5,3,13.6,0,0.0,9,40.9
秋学期,GE81601,図書館情報法制度論,98,9,9.2,36,36.7,42,42.9,9,9.2,2,2.0,45,45.9
秋学期,GE81901,図書館文化史論,57,5,8.8,28,49.1,18,31.6,4,7.0,2,3.5,33,57.9
秋学期,GE82001,中国図書学,33,3,9.1,11,33.3,12,36.4,4,12.1,3,9.1,14,42.4
春学期,GE82101,日本図書学,51,1,2.0,21,41.2,25,49.0,1,2.0,3,5.9,22,43.1
春学期,GE82201,アーカイブズの構築,60,4,6.7,11,18.3,30,50.0,14,23.3,1,1.7,15,25.0
秋学期,GE82501,映像メディア論,130,16,12.3,29,22.3,57,43.8,18,13.8,10,7.7,45,34.6
