学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_per,C_dig,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,GE11522,専門英語A-2,27,10,37.0,12,44.4,3,11.1,0,0.0,2,7.4,22,81.5
秋学期,GE11532,専門英語A-3,24,8,33.3,11,45.8,5,20.8,0,0.0,0,0.0,19,79.2
秋学期,GE11542,専門英語A-4,22,2,9.1,8,36.4,12,54.5,0,0.0,0,0.0,10,45.5
秋学期,GE20101,情報システム概説,125,7,5.6,31,24.8,44,35.2,28,22.4,15,12.0,38,30.4
秋学期,GE20201,基礎数学A,112,23,20.5,19,17.0,14,12.5,23,20.5,33,29.5,42,37.5
春学期,GE20301,基礎数学B,16,2,12.5,1,6.3,2,12.5,0,0.0,11,68.8,3,18.8
秋学期,GE20401,量的調査法,108,1,0.9,3,2.8,24,22.2,49,45.4,31,28.7,4,3.7
秋学期,GE20511,多変量解析,60,1,1.7,18,30.0,25,41.7,11,18.3,5,8.3,19,31.7
春学期,GE20601,情報探索論,134,20,14.9,28,20.9,25,18.7,37,27.6,24,17.9,48,35.8
秋学期,GE20701,質的調査法,120,3,2.5,44,36.7,51,42.5,17,14.2,5,4.2,47,39.2
秋学期,GE20801,情報行動論,107,10,9.3,26,24.3,36,33.6,16,15.0,19,17.8,36,33.6
春学期,GE20901,知識発見基礎論,112,4,3.6,31,27.7,45,40.2,23,20.5,9,8.0,35,31.3
春学期,GE21001,知識資源組織化論,117,8,6.8,31,26.5,35,29.9,19,16.2,24,20.5,39,33.3
春学期,GE21101,データベース概説,113,14,12.4,35,31.0,42,37.2,19,16.8,3,2.7,49,43.4
秋学期,GE21201,コンピュータシステムとネットワーク,111,3,2.7,32,28.8,40,36.0,24,21.6,12,10.8,35,31.5
春学期,GE21301,自然言語解析基礎,109,3,2.8,32,29.4,38,34.9,33,30.3,3,2.8,35,32.1
春学期,GE21401,メディア社会学,122,20,16.4,20,16.4,35,28.7,42,34.4,5,4.1,40,32.8
秋学期,GE21701,生涯学習と図書館,121,8,6.6,28,23.1,44,36.4,28,23.1,13,10.7,36,29.8
秋学期,GE21812,テクスト解釈-1,25,3,12.0,15,60.0,6,24.0,0,0.0,1,4.0,18,72.0
秋学期,GE21832,テクスト解釈-3,73,3,4.1,20,27.4,38,52.1,7,9.6,5,6.8,23,31.5
春学期,GE22001,図書館概論,119,5,4.2,41,34.5,54,45.4,15,12.6,4,3.4,46,38.7
春学期,GE22101,経営・組織論,100,2,2.0,14,14.0,35,35.0,46,46.0,3,3.0,16,16.0
春学期,GE40201,学習指導と学校図書館,43,2,4.7,13,30.2,20,46.5,3,7.0,5,11.6,15,34.9
秋学期,GE40301,学校図書館メディアの構成,32,7,21.9,8,25.0,9,28.1,4,12.5,4,12.5,15,46.9
春学期,GE40401,読書と豊かな人間性,111,0,0.0,42,37.8,35,31.5,29,26.1,5,4.5,42,37.8
秋学期,GE40501,情報メディアの活用,46,1,2.2,8,17.4,25,54.3,7,15.2,5,10.9,9,19.6
春学期,GE40603,インターンシップ,35,3,8.6,27,77.1,5,14.3,0,0.0,0,0.0,30,85.7
春学期,GE50301,知識情報特論I,121,0,0.0,74,61.2,36,29.8,10,8.3,1,0.8,74,61.2
秋学期,GE50401,知識情報特論II,121,0,0.0,86,71.1,30,24.8,2,1.7,3,2.5,86,71.1
春学期,GE50712,専門英語B-1,24,2,8.3,7,29.2,11,45.8,4,16.7,0,0.0,9,37.5
春学期,GE50722,専門英語B-2,43,4,9.3,6,14.0,24,55.8,9,20.9,0,0.0,10,23.3
春学期,GE50732,専門英語B-3,48,5,10.4,14,29.2,19,39.6,10,20.8,0,0.0,19,39.6
秋学期,GE50812,専門英語C-1,25,0,0.0,5,20.0,16,64.0,2,8.0,2,8.0,5,20.0
秋学期,GE50822,専門英語C-2,43,0,0.0,7,16.3,13,30.2,23,53.5,0,0.0,7,16.3
秋学期,GE50832,専門英語C-3,47,5,10.6,9,19.1,19,40.4,14,29.8,0,0.0,14,29.8
秋学期,GE51018,卒業研究,125,43,34.4,60,48.0,12,9.6,3,2.4,7,5.6,103,82.4
秋学期,GE60103,知識科学実習,24,0,0.0,13,54.2,9,37.5,2,8.3,0,0.0,13,54.2
春学期,GE60201,テクニカルコミュニケーション,74,11,14.9,23,31.1,32,43.2,7,9.5,1,1.4,34,45.9
春学期,GE60501,知識論,28,4,14.3,4,14.3,9,32.1,8,28.6,3,10.7,8,28.6
秋学期,GE60601,知識形成論,46,10,21.7,14,30.4,10,21.7,11,23.9,1,2.2,24,52.2
秋学期,GE61001,コミュニティ情報論,24,5,20.8,5,20.8,6,25.0,6,25.0,2,8.3,10,41.7
秋学期,GE61101,図書館建築論,85,16,18.8,34,40.0,20,23.5,13,15.3,2,2.4,50,58.8
秋学期,GE61201,知識構造化法,30,1,3.3,4,13.3,7,23.3,8,26.7,10,33.3,5,16.7
春学期,GE61301,情報評価,50,1,2.0,19,38.0,30,60.0,0,0.0,0,0.0,20,40.0
秋学期,GE61501,データマイニング,20,0,0.0,4,20.0,5,25.0,4,20.0,7,35.0,4,20.0
春学期,GE61701,サイエンスコミュニケーション,19,0,0.0,12,63.2,3,15.8,2,10.5,2,10.5,12,63.2
春学期,GE62001,生命情報学,22,1,4.5,5,22.7,6,27.3,7,31.8,3,13.6,6,27.3
春学期,GE62101,知識コミュニケーション,42,2,4.8,14,33.3,17,40.5,7,16.7,2,4.8,16,38.1
秋学期,GE62201,メディア社会文化論,44,7,15.9,12,27.3,16,36.4,7,15.9,2,4.5,19,43.2
秋学期,GE62301,ソーシャルメディア分析,8,1,12.5,2,25.0,2,25.0,1,12.5,2,25.0,3,37.5
秋学期,GE70103,知識情報システム実習,43,3,7.0,14,32.6,22,51.2,2,4.7,2,4.7,17,39.5
春学期,GE70201,情報サービスシステム,39,5,12.8,14,35.9,7,17.9,11,28.2,2,5.1,19,48.7
春学期,GE70301,ディジタルドキュメント,123,10,8.1,37,30.1,57,46.3,11,8.9,8,6.5,47,38.2
秋学期,GE70401,ディジタルライブラリ,42,5,11.9,7,16.7,11,26.2,16,38.1,3,7.1,12,28.6
春学期,GE70501,情報検索システム,65,1,1.5,14,21.5,24,36.9,14,21.5,12,18.5,15,23.1
春学期,GE70601,Webプログラミング,44,3,6.8,8,18.2,13,29.5,7,15.9,13,29.5,11,25.0
秋学期,GE70701,マルチメディアシステム,25,3,12.0,5,20.0,9,36.0,4,16.0,4,16.0,8,32.0
春学期,GE70801,データ表現と処理,40,3,7.5,5,12.5,29,72.5,2,5.0,1,2.5,8,20.0
秋学期,GE70901,データベース技術,34,1,2.9,6,17.6,7,20.6,14,41.2,6,17.6,7,20.6
春学期,GE71001,情報デザインとインタフェース,42,8,19.0,10,23.8,20,47.6,2,4.8,2,4.8,18,42.9
春学期,GE71201,知識資源の分析,54,3,5.6,13,24.1,21,38.9,7,13.0,10,18.5,16,29.6
秋学期,GE71501,クラウドコンピューティング,43,0,0.0,18,41.9,17,39.5,4,9.3,4,9.3,18,41.9
秋学期,GE71701,テキスト処理,21,2,9.5,5,23.8,7,33.3,4,19.0,3,14.3,7,33.3
秋学期,GE72001,ソフトウェア工学,38,5,13.2,10,26.3,21,55.3,0,0.0,2,5.3,15,39.5
秋学期,GE72201,アーカイブズの利用,27,5,18.5,4,14.8,10,37.0,4,14.8,2,7.4,9,33.3
春学期,GE72501,メディアアート,17,2,11.8,15,88.2,0,0.0,0,0.0,0,0.0,17,100.0
秋学期,GE80103,情報資源経営実習,50,2,4.0,33,66.0,13,26.0,0,0.0,2,4.0,35,70.0
秋学期,GE80201,図書館論,46,4,8.7,12,26.1,19,41.3,3,6.5,8,17.4,16,34.8
春学期,GE80301,学術情報基盤論,22,0,0.0,2,9.1,10,45.5,2,9.1,8,36.4,2,9.1
春学期,GE80401,経営情報システム論,41,6,14.6,22,53.7,6,14.6,2,4.9,5,12.2,28,68.3
春学期,GE80501,情報サービス経営論,102,5,4.9,25,24.5,29,28.4,40,39.2,3,2.9,30,29.4
秋学期,GE80801,情報サービス構成論,29,0,0.0,7,24.1,15,51.7,7,24.1,0,0.0,7,24.1
秋学期,GE80901,コレクションとアクセス,104,6,5.8,33,31.7,46,44.2,15,14.4,4,3.8,39,37.5
秋学期,GE81101,メディア教育の実践と評価,32,0,0.0,13,40.6,10,31.3,8,25.0,1,3.1,13,40.6
秋学期,GE81201,学校図書館論,62,3,4.8,22,35.5,31,50.0,5,8.1,1,1.6,25,40.3
春学期,GE81301,情報法,45,11,24.4,12,26.7,12,26.7,4,8.9,6,13.3,23,51.1
秋学期,GE81401,知的財産権論A,14,1,7.1,4,28.6,6,42.9,2,14.3,1,7.1,5,35.7
秋学期,GE81901,図書館文化史論,52,3,5.8,17,32.7,22,42.3,10,19.2,0,0.0,20,38.5
春学期,GE82101,日本図書学,47,7,14.9,11,23.4,23,48.9,6,12.8,0,0.0,18,38.3
春学期,GE82201,アーカイブズの構築,53,3,5.7,17,32.1,23,43.4,8,15.1,2,3.8,20,37.7
秋学期,GE82501,映像メディア論,122,2,1.6,28,23.0,54,44.3,27,22.1,11,9.0,30,24.6
秋学期,GE82601,パブリックガバナンス,94,13,13.8,24,25.5,46,48.9,10,10.6,1,1.1,37,39.4
