学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,GE11222,知識情報演習III-2,59,5.0,8.5,22.0,37.3,17.0,28.8,10.0,16.9,5.0,8.5,27.0,45.8
秋学期,GE11512,専門英語A-1,41,12.0,29.3,14.0,34.1,12.0,29.3,3.0,7.3,0.0,0.0,26.0,63.4
秋学期,GE11522,専門英語A-2,26,7.0,26.9,7.0,26.9,6.0,23.1,4.0,15.4,2.0,7.7,14.0,53.8
秋学期,GE11532,専門英語A-3,41,6.0,14.6,15.0,36.6,15.0,36.6,5.0,12.2,0.0,0.0,21.0,51.2
秋学期,GE11542,専門英語A-4,8,2.0,25.0,2.0,25.0,2.0,25.0,1.0,12.5,1.0,12.5,4.0,50.0
秋学期,GE20101,情報システム概説,106,4.0,3.8,23.0,21.7,50.0,47.2,14.0,13.2,15.0,14.2,27.0,25.5
秋学期,GE20201,基礎数学A,127,10.0,7.9,25.0,19.7,30.0,23.6,29.0,22.8,33.0,26.0,35.0,27.6
春学期,GE20301,基礎数学B,22,1.0,4.5,5.0,22.7,1.0,4.5,4.0,18.2,11.0,50.0,6.0,27.3
秋学期,GE20401,量的調査法,114,16.0,14.0,24.0,21.1,36.0,31.6,17.0,14.9,21.0,18.4,40.0,35.1
秋学期,GE20511,多変量解析,97,3.0,3.1,18.0,18.6,31.0,32.0,22.0,22.7,23.0,23.7,21.0,21.6
春学期,GE20601,情報探索論,129,10.0,7.8,22.0,17.1,38.0,29.5,42.0,32.6,17.0,13.2,32.0,24.8
秋学期,GE20701,質的調査法,111,4.0,3.6,38.0,34.2,38.0,34.2,21.0,18.9,10.0,9.0,42.0,37.8
秋学期,GE20801,情報行動論,109,3.0,2.8,16.0,14.7,24.0,22.0,29.0,26.6,37.0,33.9,19.0,17.4
春学期,GE20901,知識発見基礎論,91,8.0,8.8,26.0,28.6,21.0,23.1,24.0,26.4,12.0,13.2,34.0,37.4
春学期,GE21001,知識資源組織化論,120,13.0,10.8,29.0,24.2,49.0,40.8,16.0,13.3,13.0,10.8,42.0,35.0
春学期,GE21101,データベース概説,108,14.0,13.0,48.0,44.4,37.0,34.3,7.0,6.5,2.0,1.9,62.0,57.4
秋学期,GE21201,コンピュータシステムとネットワーク,94,6.0,6.4,24.0,25.5,26.0,27.7,22.0,23.4,16.0,17.0,30.0,31.9
秋学期,GE21301,自然言語解析基礎,105,8.0,7.6,32.0,30.5,38.0,36.2,14.0,13.3,13.0,12.4,40.0,38.1
春学期,GE21401,メディア社会学,122,21.0,17.2,29.0,23.8,51.0,41.8,14.0,11.5,7.0,5.7,50.0,41.0
秋学期,GE21601,公共経済学,123,9.0,7.3,35.0,28.5,37.0,30.1,31.0,25.2,11.0,8.9,44.0,35.8
秋学期,GE21701,生涯学習と図書館,105,9.0,8.6,23.0,21.9,26.0,24.8,30.0,28.6,17.0,16.2,32.0,30.5
秋学期,GE21812,テクスト解釈-1,36,0.0,0.0,25.0,69.4,8.0,22.2,3.0,8.3,0.0,0.0,25.0,69.4
春学期,GE21822,テクスト解釈-2,32,4.0,12.5,14.0,43.8,12.0,37.5,0.0,0.0,2.0,6.3,18.0,56.3
春学期,GE22001,図書館概論,142,4.0,2.8,61.0,43.0,50.0,35.2,20.0,14.1,7.0,4.9,65.0,45.8
春学期,GE22101,経営・組織論,106,3.0,2.8,33.0,31.1,38.0,35.8,23.0,21.7,9.0,8.5,36.0,34.0
秋学期,GE31023,知的探求の世界I-2,8,2.0,25.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,25.0,6.0,75.0
春学期,GE40201,学習指導と学校図書館,51,4.0,7.8,17.0,33.3,20.0,39.2,3.0,5.9,7.0,13.7,21.0,41.2
秋学期,GE40301,学校図書館メディアの構成,33,7.0,21.2,10.0,30.3,10.0,30.3,5.0,15.2,1.0,3.0,17.0,51.5
春学期,GE40401,読書と豊かな人間性,104,0.0,0.0,38.0,36.5,33.0,31.7,31.0,29.8,2.0,1.9,38.0,36.5
秋学期,GE40501,情報メディアの活用,48,0.0,0.0,16.0,33.3,24.0,50.0,6.0,12.5,2.0,4.2,16.0,33.3
春学期,GE40603,インターンシップ,47,1.0,2.1,38.0,80.9,7.0,14.9,0.0,0.0,1.0,2.1,39.0,83.0
春学期,GE50301,知識情報特論I,120,4.0,3.3,43.0,35.8,62.0,51.7,11.0,9.2,0.0,0.0,47.0,39.2
秋学期,GE50401,知識情報特論II,121,3.0,2.5,49.0,40.5,51.0,42.1,13.0,10.7,5.0,4.1,52.0,43.0
春学期,GE50712,専門英語B-1,46,5.0,10.9,13.0,28.3,27.0,58.7,1.0,2.2,0.0,0.0,18.0,39.1
春学期,GE50722,専門英語B-2,27,3.0,11.1,5.0,18.5,11.0,40.7,7.0,25.9,1.0,3.7,8.0,29.6
春学期,GE50732,専門英語B-3,37,0.0,0.0,3.0,8.1,26.0,70.3,7.0,18.9,1.0,2.7,3.0,8.1
秋学期,GE50812,専門英語C-1,19,0.0,0.0,9.0,47.4,5.0,26.3,2.0,10.5,3.0,15.8,9.0,47.4
秋学期,GE50822,専門英語C-2,23,2.0,8.7,8.0,34.8,4.0,17.4,9.0,39.1,0.0,0.0,10.0,43.5
秋学期,GE50832,専門英語C-3,73,2.0,2.7,17.0,23.3,45.0,61.6,6.0,8.2,3.0,4.1,19.0,26.0
秋学期,GE51018,卒業研究,121,36.0,29.8,64.0,52.9,10.0,8.3,0.0,0.0,11.0,9.1,100.0,82.6
秋学期,GE60103,知識科学実習,35,1.0,2.9,18.0,51.4,12.0,34.3,1.0,2.9,3.0,8.6,19.0,54.3
春学期,GE60201,テクニカルコミュニケーション,58,5.0,8.6,17.0,29.3,29.0,50.0,3.0,5.2,4.0,6.9,22.0,37.9
秋学期,GE60301,医療情報論,38,4.0,10.5,6.0,15.8,15.0,39.5,12.0,31.6,1.0,2.6,10.0,26.3
春学期,GE60401,特許情報論,53,4.0,7.5,14.0,26.4,10.0,18.9,16.0,30.2,9.0,17.0,18.0,34.0
春学期,GE60501,知識論,37,5.0,13.5,8.0,21.6,10.0,27.0,8.0,21.6,6.0,16.2,13.0,35.1
秋学期,GE60601,知識形成論,55,20.0,36.4,19.0,34.5,5.0,9.1,3.0,5.5,8.0,14.5,39.0,70.9
秋学期,GE61001,コミュニティ情報論,35,5.0,14.3,13.0,37.1,12.0,34.3,2.0,5.7,3.0,8.6,18.0,51.4
秋学期,GE61201,知識構造化法,29,2.0,6.9,3.0,10.3,6.0,20.7,7.0,24.1,11.0,37.9,5.0,17.2
春学期,GE61301,情報評価,52,4.0,7.7,16.0,30.8,28.0,53.8,3.0,5.8,1.0,1.9,20.0,38.5
秋学期,GE61501,データマイニング,22,0.0,0.0,11.0,50.0,3.0,13.6,3.0,13.6,5.0,22.7,11.0,50.0
春学期,GE61701,サイエンスコミュニケーション,21,3.0,14.3,6.0,28.6,9.0,42.9,2.0,9.5,1.0,4.8,9.0,42.9
春学期,GE62001,生命情報学,26,2.0,7.7,4.0,15.4,6.0,23.1,8.0,30.8,6.0,23.1,6.0,23.1
春学期,GE62101,知識コミュニケーション,37,0.0,0.0,12.0,32.4,15.0,40.5,7.0,18.9,3.0,8.1,12.0,32.4
秋学期,GE62201,メディア社会文化論,56,11.0,19.6,10.0,17.9,27.0,48.2,3.0,5.4,5.0,8.9,21.0,37.5
秋学期,GE62301,ソーシャルメディア分析,20,1.0,5.0,2.0,10.0,6.0,30.0,5.0,25.0,6.0,30.0,3.0,15.0
秋学期,GE70103,知識情報システム実習,36,7.0,19.4,16.0,44.4,12.0,33.3,0.0,0.0,1.0,2.8,23.0,63.9
春学期,GE70201,情報サービスシステム,33,0.0,0.0,7.0,21.2,20.0,60.6,2.0,6.1,4.0,12.1,7.0,21.2
春学期,GE70301,ディジタルドキュメント,123,9.0,7.3,23.0,18.7,69.0,56.1,9.0,7.3,13.0,10.6,32.0,26.0
秋学期,GE70401,ディジタルライブラリ,52,0.0,0.0,12.0,23.1,22.0,42.3,14.0,26.9,4.0,7.7,12.0,23.1
春学期,GE70501,情報検索システム,55,5.0,9.1,17.0,30.9,23.0,41.8,5.0,9.1,5.0,9.1,22.0,40.0
春学期,GE70601,Webプログラミング,36,2.0,5.6,10.0,27.8,12.0,33.3,7.0,19.4,5.0,13.9,12.0,33.3
秋学期,GE70701,マルチメディアシステム,19,4.0,21.1,4.0,21.1,7.0,36.8,3.0,15.8,1.0,5.3,8.0,42.1
春学期,GE70801,データ表現と処理,40,6.0,15.0,10.0,25.0,18.0,45.0,6.0,15.0,0.0,0.0,16.0,40.0
秋学期,GE70901,データベース技術,28,1.0,3.6,12.0,42.9,8.0,28.6,6.0,21.4,1.0,3.6,13.0,46.4
春学期,GE71001,情報デザインとインタフェ-ス,19,3.0,15.8,5.0,26.3,9.0,47.4,0.0,0.0,2.0,10.5,8.0,42.1
春学期,GE71201,知識資源の分析,30,3.0,10.0,7.0,23.3,14.0,46.7,3.0,10.0,3.0,10.0,10.0,33.3
秋学期,GE71301,知識資源の記述,19,5.0,26.3,9.0,47.4,5.0,26.3,0.0,0.0,0.0,0.0,14.0,73.7
秋学期,GE71501,クラウドコンピューティン,27,0.0,0.0,9.0,33.3,16.0,59.3,1.0,3.7,1.0,3.7,9.0,33.3
秋学期,GE71701,テキスト処理,19,1.0,5.3,4.0,21.1,6.0,31.6,4.0,21.1,4.0,21.1,5.0,26.3
秋学期,GE71801,データ構造とアルゴリズム,8,0.0,0.0,2.0,25.0,4.0,50.0,2.0,25.0,0.0,0.0,2.0,25.0
秋学期,GE72001,ソフトウェア工学,39,5.0,12.8,19.0,48.7,9.0,23.1,4.0,10.3,2.0,5.1,24.0,61.5
秋学期,GE72201,アーカイブズの利用,20,1.0,5.0,7.0,35.0,5.0,25.0,3.0,15.0,4.0,20.0,8.0,40.0
秋学期,GE72402,ディジタルキュレーション,20,0.0,0.0,13.0,65.0,4.0,20.0,0.0,0.0,3.0,15.0,13.0,65.0
春学期,GE72501,メディアアート,14,2.0,14.3,9.0,64.3,0.0,0.0,0.0,0.0,3.0,21.4,11.0,78.6
秋学期,GE80103,情報資源経営実習,44,1.0,2.3,15.0,34.1,24.0,54.5,2.0,4.5,2.0,4.5,16.0,36.4
秋学期,GE80201,図書館論,41,2.0,4.9,13.0,31.7,19.0,46.3,3.0,7.3,4.0,9.8,15.0,36.6
春学期,GE80301,学術情報基盤論,18,0.0,0.0,5.0,27.8,11.0,61.1,0.0,0.0,2.0,11.1,5.0,27.8
春学期,GE80401,経営情報システム論,30,3.0,10.0,24.0,80.0,1.0,3.3,0.0,0.0,2.0,6.7,27.0,90.0
春学期,GE80501,情報サービス経営論,93,10.0,10.8,27.0,29.0,27.0,29.0,29.0,31.2,0.0,0.0,37.0,39.8
春学期,GE80601,情報経済論,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
秋学期,GE80801,情報サービス構成論,34,0.0,0.0,12.0,35.3,15.0,44.1,4.0,11.8,3.0,8.8,12.0,35.3
秋学期,GE80901,コレクションとアクセス,88,8.0,9.1,30.0,34.1,36.0,40.9,7.0,8.0,7.0,8.0,38.0,43.2
春学期,GE81001,教育文化政策,19,3.0,15.8,9.0,47.4,4.0,21.1,3.0,15.8,0.0,0.0,12.0,63.2
秋学期,GE81101,メディア教育の実践と評価,31,0.0,0.0,12.0,38.7,17.0,54.8,0.0,0.0,2.0,6.5,12.0,38.7
秋学期,GE81201,学校図書館論,43,0.0,0.0,16.0,37.2,24.0,55.8,2.0,4.7,1.0,2.3,16.0,37.2
春学期,GE81301,情報法,35,4.0,11.4,9.0,25.7,10.0,28.6,9.0,25.7,3.0,8.6,13.0,37.1
春学期,GE81401,知的財産権論A,11,3.0,27.3,2.0,18.2,2.0,18.2,4.0,36.4,0.0,0.0,5.0,45.5
秋学期,GE81901,図書館文化史論,61,8.0,13.1,22.0,36.1,22.0,36.1,6.0,9.8,3.0,4.9,30.0,49.2
秋学期,GE82001,中国図書学,33,2.0,6.1,12.0,36.4,14.0,42.4,2.0,6.1,3.0,9.1,14.0,42.4
春学期,GE82101,日本図書学,51,0.0,0.0,19.0,37.3,22.0,43.1,7.0,13.7,3.0,5.9,19.0,37.3
春学期,GE82201,アーカイブズの構築,35,1.0,2.9,11.0,31.4,10.0,28.6,9.0,25.7,4.0,11.4,12.0,34.3
秋学期,GE82501,映像メディア論,87,11.0,12.6,34.0,39.1,24.0,27.6,8.0,9.2,10.0,11.5,45.0,51.7
春学期,GE82601,パブリックガバナンス,58,3.0,5.2,12.0,20.7,25.0,43.1,15.0,25.9,3.0,5.2,15.0,25.9
