学期,科目番号,科目名称,履修者,回答者,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
春,GE50501,知識情報特論III,112,6,3.33,3.17,3.40,3.50,,,,2.83,2.50,3.33,3.17,3.00,3.00,3.00,3.00,3.33,3.17
秋,GE50601,知識情報特論IV,112,47,3.05,2.81,2.70,2.81,,,,2.52,2.32,3.12,3.00,2.95,3.02,2.59,2.83,2.76,2.63
春,GE50712,専門英語B-1,53,30,3.39,3.40,3.20,3.45,,,,2.90,3.21,3.34,3.53,3.41,3.24,3.23,3.17,3.37,3.03
春,GE50722,専門英語B-2,27,26,3.08,2.70,2.50,2.52,,,,2.77,2.36,2.70,2.35,2.45,2.56,2.48,2.42,2.63,2.54
春,GE50732,専門英語B-3,46,34,3.15,2.67,2.56,2.67,,,,2.48,3.27,2.92,2.77,2.88,2.56,2.36,2.48,2.88,2.46
秋,GE50812,専門英語C-1,41,35,3.66,3.57,3.54,3.72,,,,3.09,3.49,3.47,3.54,3.43,3.49,3.29,3.37,3.46,3.31
秋,GE50822,専門英語C-2,22,15,3.31,3.42,3.17,3.27,,,,2.73,3.07,3.29,3.40,3.00,3.27,3.00,3.00,3.13,2.93
秋,GE50832,専門英語C-3,63,45,3.38,3.38,3.18,3.32,,,,2.73,2.45,3.11,3.09,3.11,3.11,2.86,2.95,3.00,3.00
春,GE60103,知識科学実習,42,31,3.31,3.32,3.08,3.16,,,,2.97,3.27,3.28,3.10,3.00,3.00,2.97,3.00,3.10,2.97
秋,GE60103,知識科学実習,42,22,3.65,3.47,3.25,3.55,,,,3.05,3.32,3.29,3.33,3.24,3.33,3.24,3.24,3.38,3.05
春,GE60201,テクニカルコミュニケーション,76,61,3.67,3.47,3.47,3.50,,,,3.34,2.84,3.39,3.36,3.33,3.36,3.36,3.31,3.38,3.20
秋,GE60301,医療情報論,54,44,3.57,3.53,3.46,3.50,,,,2.86,3.05,3.28,3.31,3.33,3.37,3.33,3.28,3.33,3.23
春,GE60501,知識論,45,32,3.45,3.36,3.11,3.32,,,,2.94,2.91,3.34,3.03,3.07,3.19,3.13,2.81,3.16,3.00
春,GE60701,レファレンスサイエンス,10,9,4.00,3.89,3.44,3.67,,,,3.11,3.33,3.33,3.44,3.67,3.56,3.44,3.33,3.56,3.22
春,GE60801,学術メディア論,52,37,3.65,3.68,3.44,3.54,,,,2.97,3.14,3.31,3.46,3.49,3.47,3.30,3.22,3.38,3.23
秋,GE61001,コミュニティ情報論,48,32,3.63,3.55,3.40,3.67,,,,2.94,2.94,3.46,3.52,3.45,3.29,3.26,3.10,3.32,3.19
秋,GE61201,知識構造化法,33,9,3.57,3.20,2.71,3.00,,,,2.67,3.11,3.25,3.00,2.78,3.11,3.22,2.56,2.89,2.56
春,GE61301,情報評価,64,27,3.26,3.42,3.30,3.33,,,,3.04,2.96,3.32,3.41,3.11,3.37,3.33,3.19,3.30,3.15
秋,GE61501,データマイニング,22,20,3.05,3.31,3.18,3.31,,,,2.90,3.30,3.29,3.45,3.11,3.06,3.06,2.63,3.37,3.00
春,GE61701,サイエンスコミュニケーション,28,21,3.62,3.33,3.45,3.35,,,,3.00,2.70,3.32,3.38,3.33,3.29,3.00,3.19,3.24,3.37
春,GE62001,生命情報学,25,12,3.45,3.22,3.27,3.00,,,,2.91,3.00,3.30,2.83,3.00,3.25,2.75,2.50,3.17,2.92
春,GE62101,知識コミュニケーション,59,38,3.65,3.47,3.42,3.51,,,,3.11,2.84,3.46,3.62,3.24,3.26,3.29,3.31,3.56,3.41
秋,GE62201,メディア社会文化論,66,30,3.33,3.17,3.21,3.31,,,,3.13,2.40,2.83,3.00,3.21,3.07,2.93,2.93,3.21,2.93
秋,GE62301,ソーシャルメディア分析,31,22,3.95,3.75,3.57,3.52,,,,3.27,3.59,3.64,3.45,3.59,3.52,3.33,3.41,3.55,3.24
春,GE70103,知識情報システム実習,26,25,3.55,3.48,3.57,3.43,,,,3.33,3.61,3.55,3.42,3.29,3.39,3.13,3.25,3.46,3.42
秋,GE70103,知識情報システム実習,26,19,3.60,3.50,3.44,3.56,,,,3.42,3.37,3.47,3.37,3.50,3.50,3.47,3.39,3.58,3.56
春,GE70201,情報サービスシステム,25,18,3.67,3.56,3.50,3.50,,,,3.28,3.17,3.24,3.33,3.28,3.33,3.33,3.50,3.44,3.28
春,GE70301,ディジタルドキュメント,100,74,3.55,3.52,3.31,3.44,,,,2.90,2.74,3.27,3.42,3.24,3.42,3.38,3.05,3.22,3.04
秋,GE70401,ディジタルライブラリ,50,21,3.37,3.28,3.10,3.32,,,,2.90,2.71,3.00,3.05,2.94,3.05,3.00,2.89,3.25,2.75
春,GE70501,情報検索システム,71,33,3.58,3.39,3.36,3.33,,,,3.15,2.85,3.39,3.30,3.18,3.21,3.10,2.85,3.22,2.97
春,GE70601,Webプログラミング,36,21,3.50,3.48,3.58,3.55,,,,3.57,3.52,3.33,3.38,3.38,3.29,3.26,3.14,3.48,3.45
秋,GE70701,マルチメディアシステム,18,12,3.36,3.18,2.91,2.89,,,,3.00,2.75,3.00,3.17,3.25,3.08,3.08,2.75,2.83,2.58
春,GE70801,データ表現と処理,31,24,3.63,3.58,3.48,3.63,,,,3.46,2.87,3.50,3.50,3.54,3.50,3.67,3.29,3.50,3.38
秋,GE70901,データベース技術,25,15,3.67,3.67,3.73,3.80,,,,3.53,3.53,3.53,3.67,3.73,3.60,3.53,3.67,3.73,3.58
春,GE71001,情報デザインとインタフェース,25,12,3.70,3.13,3.44,3.30,,,,3.25,3.08,3.42,3.17,3.08,2.92,2.75,2.83,2.92,3.00
春,GE71201,知識資源の分析,21,18,3.61,3.35,3.25,3.27,,,,3.00,2.61,3.29,3.24,3.28,3.06,3.00,2.94,3.11,2.83
秋,GE71301,知識資源の記述,19,16,3.33,3.38,3.46,3.43,,,,2.87,2.86,3.25,3.43,3.21,3.43,3.38,3.21,3.36,3.14
春,GE71401,知識資源の用語管理,38,28,3.58,3.42,3.25,3.36,,,,2.75,2.44,3.23,3.18,3.21,3.36,3.26,2.96,3.18,2.88
秋,GE71501,クラウドコンピューティング,23,12,3.58,3.67,3.60,3.60,,,,3.00,2.75,3.36,3.33,3.58,3.58,3.42,3.25,3.50,3.33
秋,GE71701,テキスト処理,21,18,3.50,3.41,3.31,3.38,,,,3.28,3.11,3.35,3.33,3.28,3.44,3.17,3.11,3.28,3.44
秋,GE72001,ソフトウェア工学,31,19,3.68,3.50,3.53,3.61,,,,3.53,3.58,3.58,3.53,3.28,3.39,3.33,3.44,3.72,3.76
秋,GE72201,アーカイブズの利用,34,24,3.32,3.11,2.79,2.94,,,,2.79,2.25,3.05,2.75,2.71,2.68,2.76,2.59,2.82,2.52
秋,GE72402,ディジタルキュレーション,6,6,3.40,3.20,3.40,3.33,,,,2.83,2.17,2.83,3.33,3.40,3.17,2.67,3.33,3.50,3.17
春,GE80103,情報資源経営実習,54,45,3.36,3.11,3.33,3.24,,,,2.91,3.82,3.37,3.14,3.16,3.28,3.00,3.17,3.25,3.05
秋,GE80103,情報資源経営実習,54,38,3.00,3.06,3.04,3.06,,,,2.61,3.47,3.16,3.11,3.09,3.18,3.06,2.97,3.13,2.80
秋,GE80201,図書館論,53,29,3.36,3.25,3.16,3.19,,,,3.14,2.54,3.15,3.00,3.17,3.17,2.96,2.93,3.07,3.00
春,GE80301,学術情報基盤論,19,16,3.53,3.40,3.38,3.43,,,,2.75,2.67,2.93,3.19,3.13,3.06,3.20,2.94,3.06,3.07
春,GE80401,経営情報システム論,15,12,3.92,3.42,3.33,3.33,,,,3.08,2.83,3.30,3.25,3.42,3.25,3.00,3.25,3.50,3.33
春,GE80501,情報サービス経営論,89,65,3.48,3.33,3.27,3.28,,,,3.11,2.75,3.30,3.15,3.23,3.23,3.09,3.09,3.20,3.08
春,GE80701,パブリックガバナンス論,51,38,3.53,3.47,3.44,3.41,,,,3.11,2.57,3.34,3.31,3.05,3.00,3.03,3.00,3.34,3.22
秋,GE80801,情報サービス構成論,36,32,3.72,3.56,3.37,3.42,,,,3.09,3.34,3.41,3.44,3.38,3.31,3.25,3.16,3.28,3.17
秋,GE80901,コレクションとアクセス,103,69,3.57,3.37,3.23,3.35,,,,2.97,2.93,3.31,3.41,3.23,3.22,3.16,3.13,3.30,3.05
春,GE81001,教育文化政策,18,15,3.80,3.80,3.80,3.87,,,,3.27,3.40,3.43,3.67,3.60,3.53,3.53,3.47,3.71,3.64
秋,GE81101,メディア教育の実践と評価,33,27,3.41,3.19,3.20,3.15,,,,3.19,3.07,3.35,3.41,3.27,3.22,3.15,3.08,3.22,3.15
秋,GE81201,学校図書館論,33,28,3.62,3.48,3.27,3.38,,,,2.85,2.32,3.17,3.21,3.11,3.18,2.68,3.07,3.21,2.86
春,GE81301,情報法,22,16,3.50,3.25,3.31,3.25,,,,2.75,2.50,3.19,3.19,3.25,3.31,3.25,3.07,3.19,3.00
春,GE81401,知的財産権論A,22,21,3.57,3.45,3.50,3.53,,,,3.00,3.48,3.48,3.48,3.43,3.38,3.24,3.33,3.38,3.26
秋,GE81601,図書館情報法制度論,98,79,3.37,3.13,2.99,3.17,,,,2.63,2.82,3.11,3.06,2.99,2.97,3.01,2.76,2.86,2.61
秋,GE81901,図書館文化史論,57,45,3.56,3.50,3.49,3.52,,,,3.22,2.58,3.29,3.40,3.38,3.29,3.33,3.20,3.32,3.20
秋,GE82001,中国図書学,33,28,3.46,3.31,3.29,3.24,,,,3.04,2.32,3.17,3.07,3.00,3.04,3.35,2.84,3.19,2.78
春,GE82101,日本図書学,51,33,3.39,3.32,3.37,3.42,,,,3.03,2.36,3.21,3.30,3.36,3.19,3.48,3.13,3.34,3.10
春,GE82201,アーカイブズの構築,60,55,3.56,3.44,3.47,3.51,,,,3.22,2.53,3.32,3.33,3.35,3.37,3.29,3.11,3.30,3.28
秋,GE82501,映像メディア論,130,102,3.60,3.47,3.40,3.43,,,,3.12,2.15,3.33,3.27,3.05,3.33,2.70,3.09,3.28,3.05
