学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
春学期,GE22101,経営・組織論,100,2.0,2.0,14.0,14.0,35.0,35.0,46.0,46.0,3.0,3.0,16.0,16.0
春学期,GE40201,学習指導と学校図書館,43,2.0,4.7,13.0,30.2,20.0,46.5,3.0,7.0,5.0,11.6,15.0,34.9
秋学期,GE40301,学校図書館メディアの構成,32,7.0,21.9,8.0,25.0,9.0,28.1,4.0,12.5,4.0,12.5,15.0,46.9
春学期,GE40401,読書と豊かな人間性,111,0.0,0.0,42.0,37.8,35.0,31.5,29.0,26.1,5.0,4.5,42.0,37.8
秋学期,GE40501,情報メディアの活用,46,1.0,2.2,8.0,17.4,25.0,54.3,7.0,15.2,5.0,10.9,9.0,19.6
春学期,GE50301,知識情報特論I,121,0.0,0.0,74.0,61.2,36.0,29.8,10.0,8.3,1.0,0.8,74.0,61.2
秋学期,GE50401,知識情報特論II,121,0.0,0.0,86.0,71.1,30.0,24.8,2.0,1.7,3.0,2.5,86.0,71.1
春学期,GE50712,専門英語B-1,24,2.0,8.3,7.0,29.2,11.0,45.8,4.0,16.7,0.0,0.0,9.0,37.5
春学期,GE50722,専門英語B-2,43,4.0,9.3,6.0,14.0,24.0,55.8,9.0,20.9,0.0,0.0,10.0,23.3
春学期,GE50732,専門英語B-3,48,5.0,10.4,14.0,29.2,19.0,39.6,10.0,20.8,0.0,0.0,19.0,39.6
秋学期,GE50812,専門英語C-1,25,0.0,0.0,5.0,20.0,16.0,64.0,2.0,8.0,2.0,8.0,5.0,20.0
秋学期,GE50822,専門英語C-2,43,0.0,0.0,7.0,16.3,13.0,30.2,23.0,53.5,0.0,0.0,7.0,16.3
秋学期,GE50832,専門英語C-3,47,5.0,10.6,9.0,19.1,19.0,40.4,14.0,29.8,0.0,0.0,14.0,29.8
秋学期,GE51018,卒業研究,125,43.0,34.4,60.0,48.0,12.0,9.6,3.0,2.4,7.0,5.6,103.0,82.4
秋学期,GE60103,知識科学実習,24,0.0,0.0,13.0,54.2,9.0,37.5,2.0,8.3,0.0,0.0,13.0,54.2
春学期,GE60201,テクニカルコミュニケーション,74,11.0,14.9,23.0,31.1,32.0,43.2,7.0,9.5,1.0,1.4,34.0,45.9
春学期,GE60501,知識論,28,4.0,14.3,4.0,14.3,9.0,32.1,8.0,28.6,3.0,10.7,8.0,28.6
秋学期,GE60601,知識形成論,46,10.0,21.7,14.0,30.4,10.0,21.7,11.0,23.9,1.0,2.2,24.0,52.2
秋学期,GE61001,コミュニティ情報論,24,5.0,20.8,5.0,20.8,6.0,25.0,6.0,25.0,2.0,8.3,10.0,41.7
秋学期,GE61101,図書館建築論,85,16.0,18.8,34.0,40.0,20.0,23.5,13.0,15.3,2.0,2.4,50.0,58.8
秋学期,GE61201,知識構造化法,30,1.0,3.3,4.0,13.3,7.0,23.3,8.0,26.7,10.0,33.3,5.0,16.7
春学期,GE61301,情報評価,50,1.0,2.0,19.0,38.0,30.0,60.0,0.0,0.0,0.0,0.0,20.0,40.0
秋学期,GE61501,データマイニング,20,0.0,0.0,4.0,20.0,5.0,25.0,4.0,20.0,7.0,35.0,4.0,20.0
春学期,GE61701,サイエンスコミュニケーション,19,0.0,0.0,12.0,63.2,3.0,15.8,2.0,10.5,2.0,10.5,12.0,63.2
春学期,GE62001,生命情報学,22,1.0,4.5,5.0,22.7,6.0,27.3,7.0,31.8,3.0,13.6,6.0,27.3
春学期,GE62101,知識コミュニケーション,42,2.0,4.8,14.0,33.3,17.0,40.5,7.0,16.7,2.0,4.8,16.0,38.1
秋学期,GE62201,メディア社会文化論,44,7.0,15.9,12.0,27.3,16.0,36.4,7.0,15.9,2.0,4.5,19.0,43.2
秋学期,GE62301,ソーシャルメディア分析,8,1.0,12.5,2.0,25.0,2.0,25.0,1.0,12.5,2.0,25.0,3.0,37.5
秋学期,GE70103,知識情報システム実習,43,3.0,7.0,14.0,32.6,22.0,51.2,2.0,4.7,2.0,4.7,17.0,39.5
春学期,GE70201,情報サービスシステム,39,5.0,12.8,14.0,35.9,7.0,17.9,11.0,28.2,2.0,5.1,19.0,48.7
春学期,GE70301,ディジタルドキュメント,123,10.0,8.1,37.0,30.1,57.0,46.3,11.0,8.9,8.0,6.5,47.0,38.2
秋学期,GE70401,ディジタルライブラリ,42,5.0,11.9,7.0,16.7,11.0,26.2,16.0,38.1,3.0,7.1,12.0,28.6
春学期,GE70501,情報検索システム,65,1.0,1.5,14.0,21.5,24.0,36.9,14.0,21.5,12.0,18.5,15.0,23.1
春学期,GE70601,Webプログラミング,44,3.0,6.8,8.0,18.2,13.0,29.5,7.0,15.9,13.0,29.5,11.0,25.0
秋学期,GE70701,マルチメディアシステム,25,3.0,12.0,5.0,20.0,9.0,36.0,4.0,16.0,4.0,16.0,8.0,32.0
春学期,GE70801,データ表現と処理,40,3.0,7.5,5.0,12.5,29.0,72.5,2.0,5.0,1.0,2.5,8.0,20.0
秋学期,GE70901,データベース技術,34,1.0,2.9,6.0,17.6,7.0,20.6,14.0,41.2,6.0,17.6,7.0,20.6
春学期,GE71001,情報デザインとインタフェース,42,8.0,19.0,10.0,23.8,20.0,47.6,2.0,4.8,2.0,4.8,18.0,42.9
春学期,GE71201,知識資源の分析,54,3.0,5.6,13.0,24.1,21.0,38.9,7.0,13.0,10.0,18.5,16.0,29.6
秋学期,GE71501,クラウドコンピューティング,43,0.0,0.0,18.0,41.9,17.0,39.5,4.0,9.3,4.0,9.3,18.0,41.9
秋学期,GE71701,テキスト処理,21,2.0,9.5,5.0,23.8,7.0,33.3,4.0,19.0,3.0,14.3,7.0,33.3
秋学期,GE72001,ソフトウェア工学,38,5.0,13.2,10.0,26.3,21.0,55.3,0.0,0.0,2.0,5.3,15.0,39.5
秋学期,GE72201,アーカイブズの利用,27,5.0,18.5,4.0,14.8,10.0,37.0,4.0,14.8,2.0,7.4,9.0,33.3
春学期,GE72501,メディアアート,17,2.0,11.8,15.0,88.2,0.0,0.0,0.0,0.0,0.0,0.0,17.0,100.0
秋学期,GE80103,情報資源経営実習,50,2.0,4.0,33.0,66.0,13.0,26.0,0.0,0.0,2.0,4.0,35.0,70.0
秋学期,GE80201,図書館論,46,4.0,8.7,12.0,26.1,19.0,41.3,3.0,6.5,8.0,17.4,16.0,34.8
春学期,GE80301,学術情報基盤論,22,0.0,0.0,2.0,9.1,10.0,45.5,2.0,9.1,8.0,36.4,2.0,9.1
春学期,GE80401,経営情報システム論,41,6.0,14.6,22.0,53.7,6.0,14.6,2.0,4.9,5.0,12.2,28.0,68.3
春学期,GE80501,情報サービス経営論,102,5.0,4.9,25.0,24.5,29.0,28.4,40.0,39.2,3.0,2.9,30.0,29.4
秋学期,GE80801,情報サービス構成論,29,0.0,0.0,7.0,24.1,15.0,51.7,7.0,24.1,0.0,0.0,7.0,24.1
秋学期,GE80901,コレクションとアクセス,104,6.0,5.8,33.0,31.7,46.0,44.2,15.0,14.4,4.0,3.8,39.0,37.5
秋学期,GE81101,メディア教育の実践と評価,32,0.0,0.0,13.0,40.6,10.0,31.3,8.0,25.0,1.0,3.1,13.0,40.6
秋学期,GE81201,学校図書館論,62,3.0,4.8,22.0,35.5,31.0,50.0,5.0,8.1,1.0,1.6,25.0,40.3
春学期,GE81301,情報法,45,11.0,24.4,12.0,26.7,12.0,26.7,4.0,8.9,6.0,13.3,23.0,51.1
秋学期,GE81401,知的財産権論A,14,1.0,7.1,4.0,28.6,6.0,42.9,2.0,14.3,1.0,7.1,5.0,35.7
秋学期,GE81901,図書館文化史論,52,3.0,5.8,17.0,32.7,22.0,42.3,10.0,19.2,0.0,0.0,20.0,38.5
春学期,GE82101,日本図書学,47,7.0,14.9,11.0,23.4,23.0,48.9,6.0,12.8,0.0,0.0,18.0,38.3
春学期,GE82201,アーカイブズの構築,53,3.0,5.7,17.0,32.1,23.0,43.4,8.0,15.1,2.0,3.8,20.0,37.7
秋学期,GE82501,映像メディア論,122,2.0,1.6,28.0,23.0,54.0,44.3,27.0,22.1,11.0,9.0,30.0,24.6
秋学期,GE82601,パブリックガバナンス,94,13.0,13.8,24.0,25.5,46.0,48.9,10.0,10.6,1.0,1.1,37.0,39.4
