学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,GE71801,データ構造とアルゴリズム,8,0.0,0.0,3.0,37.5,1.0,12.5,2.0,25.0,2.0,25.0,3.0,37.5
秋学期,GE72001,ソフトウェア工学,35,8.0,22.9,8.0,22.9,17.0,48.6,2.0,5.7,0.0,0.0,16.0,45.7
秋学期,GE72201,アーカイブズの利用,44,6.0,13.6,6.0,13.6,16.0,36.4,9.0,20.5,7.0,15.9,12.0,27.3
秋学期,GE72402,ディジタルキュレーション,9,0.0,0.0,5.0,55.6,0.0,0.0,1.0,11.1,3.0,33.3,5.0,55.6
春学期,GE72501,メディアアート,9,0.0,0.0,8.0,88.9,0.0,0.0,0.0,0.0,1.0,11.1,8.0,88.9
秋学期,GE80103,情報資源経営実習,54,1.0,1.9,28.0,51.9,21.0,38.9,1.0,1.9,3.0,5.6,29.0,53.7
秋学期,GE80201,図書館論,50,5.0,10.0,12.0,24.0,26.0,52.0,0.0,0.0,7.0,14.0,17.0,34.0
春学期,GE80301,学術情報基盤論,30,0.0,0.0,12.0,40.0,12.0,40.0,2.0,6.7,4.0,13.3,12.0,40.0
春学期,GE80401,経営情報システム論,30,2.0,6.7,14.0,46.7,9.0,30.0,1.0,3.3,4.0,13.3,16.0,53.3
春学期,GE80501,情報サービス経営論,114,3.0,2.6,26.0,22.8,37.0,32.5,38.0,33.3,10.0,8.8,29.0,25.4
秋学期,GE80801,情報サービス構成論,45,0.0,0.0,7.0,15.6,27.0,60.0,10.0,22.2,1.0,2.2,7.0,15.6
秋学期,GE80901,コレクションとアクセス,107,4.0,3.7,37.0,34.6,44.0,41.1,17.0,15.9,5.0,4.7,41.0,38.3
春学期,GE81001,教育文化政策,31,3.0,9.7,10.0,32.3,8.0,25.8,7.0,22.6,3.0,9.7,13.0,41.9
秋学期,GE81201,学校図書館論,51,0.0,0.0,20.0,39.2,25.0,49.0,2.0,3.9,4.0,7.8,20.0,39.2
春学期,GE81301,情報法,33,7.0,21.2,8.0,24.2,9.0,27.3,7.0,21.2,2.0,6.1,15.0,45.5
秋学期,GE81401,知的財産権論A,21,2.0,9.5,12.0,57.1,4.0,19.0,3.0,14.3,0.0,0.0,14.0,66.7
秋学期,GE81901,図書館文化史論,64,3.0,4.7,19.0,29.7,23.0,35.9,16.0,25.0,3.0,4.7,22.0,34.4
秋学期,GE82001,中国図書学,40,4.0,10.0,17.0,42.5,17.0,42.5,0.0,0.0,2.0,5.0,21.0,52.5
春学期,GE82101,日本図書学,58,0.0,0.0,23.0,39.7,30.0,51.7,3.0,5.2,2.0,3.4,23.0,39.7
春学期,GE82201,アーカイブズの構築,63,1.0,1.6,16.0,25.4,27.0,42.9,13.0,20.6,6.0,9.5,17.0,27.0
秋学期,GE82501,映像メディア論,122,5.0,4.1,54.0,44.3,50.0,41.0,6.0,4.9,7.0,5.7,59.0,48.4
秋学期,GE82601,パブリックガバナンス,108,7.0,6.5,17.0,15.7,52.0,48.1,28.0,25.9,4.0,3.7,24.0,22.2
