学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,GE20501,多変量解析,43,0.0,0.0,3.0,7.0,9.0,20.9,23.0,53.5,8.0,18.6,3.0,7.0
秋学期,GE20511,多変量解析-2,31,0.0,0.0,8.0,25.8,9.0,29.0,12.0,38.7,2.0,6.5,8.0,25.8
春学期,GE20601,情報探索論,122,7.0,5.7,25.0,20.5,42.0,34.4,31.0,25.4,17.0,13.9,32.0,26.2
秋学期,GE20701,質的調査法,94,3.0,3.2,25.0,26.6,35.0,37.2,12.0,12.8,19.0,20.2,28.0,29.8
春学期,GE20901,知識発見基礎論,119,4.0,3.4,32.0,26.9,37.0,31.1,28.0,23.5,18.0,15.1,36.0,30.3
春学期,GE21001,知識資源組織化論,122,6.0,4.9,31.0,25.4,56.0,45.9,22.0,18.0,7.0,5.7,37.0,30.3
春学期,GE21101,データベース概説,108,11.0,10.2,36.0,33.3,51.0,47.2,7.0,6.5,3.0,2.8,47.0,43.5
秋学期,GE21201,コンピュータシステムとネット,94,5.0,5.3,19.0,20.2,21.0,22.3,18.0,19.1,31.0,33.0,24.0,25.5
秋学期,GE21301,自然言語解析基礎,99,9.0,9.1,32.0,32.3,34.0,34.3,10.0,10.1,14.0,14.1,41.0,41.4
春学期,GE21401,メディア社会学,117,19.0,16.2,39.0,33.3,37.0,31.6,11.0,9.4,11.0,9.4,58.0,49.6
春学期,GE21501,経営・組織論,111,1.0,0.9,23.0,20.7,36.0,32.4,44.0,39.6,7.0,6.3,24.0,21.6
春学期,GE21601,公共経済学,89,7.0,7.9,25.0,28.1,39.0,43.8,14.0,15.7,4.0,4.5,32.0,36.0
秋学期,GE21701,生涯学習と図書館,108,4.0,3.7,25.0,23.1,37.0,34.3,23.0,21.3,19.0,17.6,29.0,26.9
秋学期,GE21812,テクスト解釈-1,29,0.0,0.0,20.0,69.0,4.0,13.8,0.0,0.0,5.0,17.2,20.0,69.0
春学期,GE21822,テクスト解釈-2,30,6.0,20.0,13.0,43.3,9.0,30.0,0.0,0.0,2.0,6.7,19.0,63.3
秋学期,GE21832,テクスト解釈-3,41,0.0,0.0,12.0,29.3,20.0,48.8,6.0,14.6,3.0,7.3,12.0,29.3
春学期,GE22001,図書館概論,122,2.0,1.6,38.0,31.1,63.0,51.6,13.0,10.7,6.0,4.9,40.0,32.8
秋学期,GE31023,知的探求の世界I-2,6,1.0,16.7,4.0,66.7,1.0,16.7,0.0,0.0,0.0,0.0,5.0,83.3
秋学期,GE32023,知的探求の世界II-2,8,3.0,37.5,5.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0
春学期,GE40201,学習指導と学校図書館,47,2.0,4.3,20.0,42.6,20.0,42.6,1.0,2.1,4.0,8.5,22.0,46.8
秋学期,GE40301,学校図書館メディアの構成,23,3.0,13.0,5.0,21.7,10.0,43.5,2.0,8.7,3.0,13.0,8.0,34.8
春学期,GE40401,読書と豊かな人間性,110,0.0,0.0,33.0,30.0,40.0,36.4,34.0,30.9,3.0,2.7,33.0,30.0
秋学期,GE40501,情報メディアの活用,36,0.0,0.0,6.0,16.7,17.0,47.2,6.0,16.7,7.0,19.4,6.0,16.7
春学期,GE40603,インターンシップ,54,0.0,0.0,46.0,85.2,8.0,14.8,0.0,0.0,0.0,0.0,46.0,85.2
秋学期,GE41001,知識情報学特別講義I,50,1.0,2.0,14.0,28.0,20.0,40.0,4.0,8.0,11.0,22.0,15.0,30.0
春学期,GE50501,知識情報特論III,112,39.0,34.8,42.0,37.5,20.0,17.9,11.0,9.8,0.0,0.0,81.0,72.3
秋学期,GE50601,知識情報特論IV,112,11.0,9.8,66.0,58.9,17.0,15.2,17.0,15.2,1.0,0.9,77.0,68.8
春学期,GE50712,専門英語B-1,53,6.0,11.3,15.0,28.3,30.0,56.6,1.0,1.9,1.0,1.9,21.0,39.6
春学期,GE50722,専門英語B-2,27,2.0,7.4,9.0,33.3,7.0,25.9,9.0,33.3,0.0,0.0,11.0,40.7
春学期,GE50732,専門英語B-3,46,0.0,0.0,2.0,4.3,30.0,65.2,13.0,28.3,1.0,2.2,2.0,4.3
秋学期,GE50812,専門英語C-1,41,3.0,7.3,13.0,31.7,18.0,43.9,5.0,12.2,2.0,4.9,16.0,39.0
秋学期,GE50822,専門英語C-2,22,1.0,4.5,6.0,27.3,6.0,27.3,9.0,40.9,0.0,0.0,7.0,31.8
秋学期,GE50832,専門英語C-3,63,2.0,3.2,16.0,25.4,25.0,39.7,17.0,27.0,3.0,4.8,18.0,28.6
秋学期,GE51018,卒業研究,113,35.0,31.0,58.0,51.3,10.0,8.8,6.0,5.3,4.0,3.5,93.0,82.3
秋学期,GE60103,知識科学実習,42,3.0,7.1,19.0,45.2,14.0,33.3,3.0,7.1,3.0,7.1,22.0,52.4
春学期,GE60201,テクニカルコミュニケーション,76,7.0,9.2,41.0,53.9,21.0,27.6,5.0,6.6,2.0,2.6,48.0,63.2
秋学期,GE60301,医療情報論,54,5.0,9.3,12.0,22.2,12.0,22.2,15.0,27.8,10.0,18.5,17.0,31.5
春学期,GE60501,知識論,45,5.0,11.1,18.0,40.0,14.0,31.1,7.0,15.6,1.0,2.2,23.0,51.1
春学期,GE60701,レファレンスサイエンス,10,2.0,20.0,4.0,40.0,2.0,20.0,1.0,10.0,1.0,10.0,6.0,60.0
春学期,GE60801,学術メディア論,52,0.0,0.0,6.0,11.5,19.0,36.5,16.0,30.8,11.0,21.2,6.0,11.5
秋学期,GE61001,コミュニティ情報論,48,11.0,22.9,8.0,16.7,20.0,41.7,6.0,12.5,3.0,6.3,19.0,39.6
秋学期,GE61201,知識構造化法,33,6.0,18.2,9.0,27.3,5.0,15.2,1.0,3.0,12.0,36.4,15.0,45.5
春学期,GE61301,情報評価,64,2.0,3.1,20.0,31.3,35.0,54.7,4.0,6.3,3.0,4.7,22.0,34.4
秋学期,GE61501,データマイニング,22,0.0,0.0,10.0,45.5,6.0,27.3,3.0,13.6,3.0,13.6,10.0,45.5
春学期,GE61701,サイエンスコミュニケーション,28,4.0,14.3,6.0,21.4,10.0,35.7,4.0,14.3,4.0,14.3,10.0,35.7
春学期,GE62001,生命情報学,25,3.0,12.0,4.0,16.0,5.0,20.0,7.0,28.0,6.0,24.0,7.0,28.0
春学期,GE62101,知識コミュニケーション,59,0.0,0.0,14.0,23.7,22.0,37.3,17.0,28.8,6.0,10.2,14.0,23.7
秋学期,GE62201,メディア社会文化論,66,14.0,21.2,11.0,16.7,22.0,33.3,10.0,15.2,9.0,13.6,25.0,37.9
秋学期,GE62301,ソーシャルメディア分析,31,1.0,3.2,5.0,16.1,13.0,41.9,2.0,6.5,10.0,32.3,6.0,19.4
秋学期,GE70103,知識情報システム実習,26,6.0,23.1,14.0,53.8,6.0,23.1,0.0,0.0,0.0,0.0,20.0,76.9
春学期,GE70201,情報サービスシステム,25,1.0,4.0,3.0,12.0,9.0,36.0,9.0,36.0,3.0,12.0,4.0,16.0
春学期,GE70301,ディジタルドキュメント,100,0.0,0.0,37.0,37.0,46.0,46.0,12.0,12.0,5.0,5.0,37.0,37.0
秋学期,GE70401,ディジタルライブラリ,50,3.0,6.0,7.0,14.0,23.0,46.0,12.0,24.0,5.0,10.0,10.0,20.0
春学期,GE70501,情報検索システム,71,4.0,5.6,25.0,35.2,18.0,25.4,13.0,18.3,11.0,15.5,29.0,40.8
春学期,GE70601,Webプログラミング,36,3.0,8.3,8.0,22.2,14.0,38.9,3.0,8.3,8.0,22.2,11.0,30.6
秋学期,GE70701,マルチメディアシステム,18,2.0,11.1,7.0,38.9,5.0,27.8,1.0,5.6,3.0,16.7,9.0,50.0
春学期,GE70801,データ表現と処理,31,7.0,22.6,8.0,25.8,13.0,41.9,1.0,3.2,2.0,6.5,15.0,48.4
秋学期,GE70901,データベース技術,25,2.0,8.0,11.0,44.0,7.0,28.0,2.0,8.0,3.0,12.0,13.0,52.0
春学期,GE71001,情報デザインとインタフェース,25,0.0,0.0,12.0,48.0,10.0,40.0,0.0,0.0,3.0,12.0,12.0,48.0
春学期,GE71201,知識資源の分析,21,3.0,14.3,5.0,23.8,7.0,33.3,3.0,14.3,3.0,14.3,8.0,38.1
秋学期,GE71301,知識資源の記述,19,2.0,10.5,10.0,52.6,5.0,26.3,0.0,0.0,2.0,10.5,12.0,63.2
春学期,GE71401,知識資源の用語管理,38,9.0,23.7,11.0,28.9,8.0,21.1,5.0,13.2,5.0,13.2,20.0,52.6
秋学期,GE71501,クラウドコンピューティング,23,3.0,13.0,5.0,21.7,14.0,60.9,0.0,0.0,1.0,4.3,8.0,34.8
秋学期,GE71701,テキスト処理,21,3.0,14.3,7.0,33.3,6.0,28.6,2.0,9.5,3.0,14.3,10.0,47.6
秋学期,GE72001,ソフトウェア工学,31,6.0,19.4,11.0,35.5,8.0,25.8,3.0,9.7,3.0,9.7,17.0,54.8
秋学期,GE72201,アーカイブズの利用,34,4.0,11.8,11.0,32.4,9.0,26.5,3.0,8.8,7.0,20.6,15.0,44.1
秋学期,GE72402,ディジタルキュレーション,6,1.0,16.7,3.0,50.0,2.0,33.3,0.0,0.0,0.0,0.0,4.0,66.7
秋学期,GE80103,情報資源経営実習,54,2.0,3.7,25.0,46.3,26.0,48.1,0.0,0.0,1.0,1.9,27.0,50.0
秋学期,GE80201,図書館論,53,5.0,9.4,15.0,28.3,23.0,43.4,5.0,9.4,5.0,9.4,20.0,37.7
春学期,GE80301,学術情報基盤論,19,0.0,0.0,8.0,42.1,8.0,42.1,2.0,10.5,1.0,5.3,8.0,42.1
春学期,GE80401,経営情報システム論,15,2.0,13.3,8.0,53.3,3.0,20.0,0.0,0.0,2.0,13.3,10.0,66.7
春学期,GE80501,情報サービス経営論,89,10.0,11.2,24.0,27.0,36.0,40.4,8.0,9.0,11.0,12.4,34.0,38.2
春学期,GE80601,情報経済論,47,0.0,0.0,25.0,53.2,18.0,38.3,0.0,0.0,4.0,8.5,25.0,53.2
春学期,GE80701,パブリックガバナンス論,51,31.0,60.8,5.0,9.8,6.0,11.8,4.0,7.8,5.0,9.8,36.0,70.6
秋学期,GE80801,情報サービス構成論,36,0.0,0.0,7.0,19.4,22.0,61.1,6.0,16.7,1.0,2.8,7.0,19.4
秋学期,GE80901,コレクションとアクセス,103,2.0,1.9,47.0,45.6,38.0,36.9,11.0,10.7,5.0,4.9,49.0,47.6
春学期,GE81001,教育文化政策,18,1.0,5.6,8.0,44.4,6.0,33.3,0.0,0.0,3.0,16.7,9.0,50.0
秋学期,GE81101,メディア教育の実践と評価,33,0.0,0.0,10.0,30.3,11.0,33.3,9.0,27.3,3.0,9.1,10.0,30.3
秋学期,GE81201,学校図書館論,33,0.0,0.0,16.0,48.5,14.0,42.4,0.0,0.0,3.0,9.1,16.0,48.5
春学期,GE81301,情報法,22,1.0,4.5,4.0,18.2,8.0,36.4,7.0,31.8,2.0,9.1,5.0,22.7
春学期,GE81401,知的財産権論A,22,1.0,4.5,8.0,36.4,10.0,45.5,3.0,13.6,0.0,0.0,9.0,40.9
秋学期,GE81601,図書館情報法制度論,98,9.0,9.2,36.0,36.7,42.0,42.9,9.0,9.2,2.0,2.0,45.0,45.9
秋学期,GE81901,図書館文化史論,57,5.0,8.8,28.0,49.1,18.0,31.6,4.0,7.0,2.0,3.5,33.0,57.9
秋学期,GE82001,中国図書学,33,3.0,9.1,11.0,33.3,12.0,36.4,4.0,12.1,3.0,9.1,14.0,42.4
春学期,GE82101,日本図書学,51,1.0,2.0,21.0,41.2,25.0,49.0,1.0,2.0,3.0,5.9,22.0,43.1
春学期,GE82201,アーカイブズの構築,60,4.0,6.7,11.0,18.3,30.0,50.0,14.0,23.3,1.0,1.7,15.0,25.0
秋学期,GE82501,映像メディア論,130,16.0,12.3,29.0,22.3,57.0,43.8,18.0,13.8,10.0,7.7,45.0,34.6
