学期,科目番号,科目名称,履修者数,A+dig,A+per,A_dig,A_per,B_dig,B_per,C_dig,C_per,D_dig,D_per,A+_A_dig,A+_A_per
秋学期,GE12112,アカデミックスキルズ,29,5,17.2,15,51.7,7,24.1,0,0.0,2,6.9,20,69.0
秋学期,GE12122,アカデミックスキルズ,26,9,34.6,10,38.5,4,15.4,2,7.7,1,3.8,19,73.1
秋学期,GE12132,アカデミックスキルズ,26,3,11.5,15,57.7,6,23.1,1,3.8,1,3.8,18,69.2
秋学期,GE12142,アカデミックスキルズ,26,9,34.6,11,42.3,6,23.1,0,0.0,0,0.0,20,76.9
秋学期,GE20401,量的調査法,53,1,1.9,3,5.7,9,17.0,17,32.1,23,43.4,4,7.5
秋学期,GE20511,多変量解析,33,2,6.1,6,18.2,9,27.3,6,18.2,10,30.3,8,24.2
春学期,GE20601,情報探索論,119,36,30.3,35,29.4,36,30.3,4,3.4,8,6.7,71,59.7
春学期,GE20701,質的調査法,107,0,0.0,61,57.0,33,30.8,7,6.5,6,5.6,61,57.0
秋学期,GE20801,情報行動論,80,10,12.5,15,18.8,22,27.5,11,13.8,22,27.5,25,31.3
春学期,GE20901,知識発見基礎論,117,7,6.0,44,37.6,37,31.6,8,6.8,21,17.9,51,43.6
春学期,GE21001,知識資源組織化論,125,7,5.6,41,32.8,54,43.2,12,9.6,11,8.8,48,38.4
春学期,GE21101,データベース概説,99,17,17.2,28,28.3,31,31.3,10,10.1,13,13.1,45,45.5
秋学期,GE21201,コンピュータシステムとネットワーク,112,10,8.9,41,36.6,47,42.0,8,7.1,6,5.4,51,45.5
秋学期,GE21301,自然言語解析基礎,70,6,8.6,24,34.3,20,28.6,13,18.6,7,10.0,30,42.9
春学期,GE21401,メディア社会学,92,17,18.5,33,35.9,21,22.8,5,5.4,16,17.4,50,54.3
秋学期,GE21601,公共経済学,146,32,21.9,32,21.9,64,43.8,10,6.8,8,5.5,64,43.8
春学期,GE21701,生涯学習と図書館,97,12,12.4,27,27.8,36,37.1,11,11.3,11,11.3,39,40.2
秋学期,GE21812,テクスト解釈-1,8,0,0.0,5,62.5,1,12.5,0,0.0,2,25.0,5,62.5
秋学期,GE21832,テクスト解釈-3,65,2,3.1,56,86.2,3,4.6,2,3.1,2,3.1,58,89.2
春学期,GE22101,経営・組織論,69,2,2.9,22,31.9,22,31.9,10,14.5,13,18.8,24,34.8
秋学期,GE22201,機械学習,73,5,6.8,19,26.0,29,39.7,5,6.8,15,20.5,24,32.9
秋学期,GE22301,映像メディア概論,232,8,3.4,86,37.1,81,34.9,31,13.4,26,11.2,94,40.5
秋学期,GE22501,システム思考,26,4,15.4,8,30.8,3,11.5,2,7.7,9,34.6,12,46.2
秋学期,GE40201,学習指導と学校図書館,98,6,6.1,20,20.4,48,49.0,16,16.3,8,8.2,26,26.5
秋学期,GE40301,学校図書館メディアの構成,88,6,6.8,20,22.7,36,40.9,18,20.5,8,9.1,26,29.5
春学期,GE40401,読書と豊かな人間性,108,2,1.9,35,32.4,42,38.9,14,13.0,15,13.9,37,34.3
秋学期,GE40501,情報メディアの活用,37,0,0.0,9,24.3,6,16.2,12,32.4,10,27.0,9,24.3
春学期,GE40603,インターンシップ,14,3,21.4,11,78.6,0,0.0,0,0.0,0,0.0,14,100.0
春学期,GE50301,知識情報特論I,118,0,0.0,114,96.6,3,2.5,0,0.0,1,0.8,114,96.6
秋学期,GE50401,知識情報特論II,120,0,0.0,115,95.8,2,1.7,1,0.8,2,1.7,115,95.8
春学期,GE50712,専門英語B-1,35,3,8.6,9,25.7,17,48.6,2,5.7,4,11.4,12,34.3
春学期,GE50722,専門英語B-2,29,0,0.0,29,100.0,0,0.0,0,0.0,0,0.0,29,100.0
春学期,GE50732,専門英語B-3,48,1,2.1,13,27.1,28,58.3,5,10.4,1,2.1,14,29.2
秋学期,GE50812,専門英語C-1,28,3,10.7,5,17.9,11,39.3,5,17.9,4,14.3,8,28.6
秋学期,GE50822,専門英語C-2,31,7,22.6,3,9.7,11,35.5,7,22.6,3,9.7,10,32.3
秋学期,GE50832,専門英語C-3,49,3,6.1,12,24.5,11,22.4,22,44.9,1,2.0,15,30.6
秋学期,GE51018,卒業研究,122,36,29.5,66,54.1,8,6.6,2,1.6,10,8.2,102,83.6
秋学期,GE60103,知識科学実習,31,4,12.9,11,35.5,6,19.4,5,16.1,5,16.1,15,48.4
春学期,GE60201,テクニカルコミュニケーション,66,9,13.6,21,31.8,19,28.8,3,4.5,14,21.2,30,45.5
春学期,GE60501,知識論,38,2,5.3,20,52.6,8,21.1,3,7.9,5,13.2,22,57.9
秋学期,GE60601,知識形成論,43,8,18.6,11,25.6,17,39.5,4,9.3,3,7.0,19,44.2
春学期,GE60701,レファレンスサイエンス,9,1,11.1,1,11.1,3,33.3,2,22.2,2,22.2,2,22.2
春学期,GE60801,学術メディア論,30,6,20.0,5,16.7,8,26.7,5,16.7,6,20.0,11,36.7
秋学期,GE61001,コミュニティ情報論,24,3,12.5,9,37.5,9,37.5,0,0.0,3,12.5,12,50.0
秋学期,GE61101,図書館建築論,100,7,7.0,22,22.0,39,39.0,13,13.0,19,19.0,29,29.0
秋学期,GE61201,知識構造化法,31,1,3.2,6,19.4,10,32.3,4,12.9,10,32.3,7,22.6
春学期,GE61301,情報評価,56,3,5.4,18,32.1,28,50.0,2,3.6,5,8.9,21,37.5
秋学期,GE61501,データマイニング,17,0,0.0,5,29.4,2,11.8,2,11.8,8,47.1,5,29.4
春学期,GE61701,サイエンスコミュニケーション,34,5,14.7,7,20.6,11,32.4,5,14.7,6,17.6,12,35.3
春学期,GE62001,生命情報学,18,3,16.7,2,11.1,3,16.7,5,27.8,5,27.8,5,27.8
秋学期,GE62101,知識コミュニケーション,44,3,6.8,21,47.7,10,22.7,5,11.4,5,11.4,24,54.5
秋学期,GE62201,メディア社会文化論,33,9,27.3,7,21.2,7,21.2,0,0.0,10,30.3,16,48.5
秋学期,GE62301,ソーシャルメディア分析,9,0,0.0,1,11.1,4,44.4,3,33.3,1,11.1,1,11.1
秋学期,GE62401,Machine Learning and Information Retrieval,9,0,0.0,2,22.2,4,44.4,2,22.2,1,11.1,2,22.2
秋学期,GE70103,知識情報システム実習,32,6,18.8,18,56.3,7,21.9,1,3.1,0,0.0,24,75.0
春学期,GE70201,情報サービスシステム,31,7,22.6,15,48.4,7,22.6,1,3.2,1,3.2,22,71.0
秋学期,GE70301,ディジタルドキュメント,94,7,7.4,30,31.9,29,30.9,20,21.3,8,8.5,37,39.4
春学期,GE70401,ディジタルライブラリ,74,9,12.2,10,13.5,25,33.8,26,35.1,4,5.4,19,25.7
春学期,GE70501,情報検索システム,64,9,14.1,18,28.1,12,18.8,12,18.8,13,20.3,27,42.2
春学期,GE70601,Webプログラミング,42,2,4.8,7,16.7,15,35.7,6,14.3,12,28.6,9,21.4
秋学期,GE70701,マルチメディアシステム,14,3,21.4,3,21.4,4,28.6,1,7.1,3,21.4,6,42.9
春学期,GE70801,データ表現と処理,39,5,12.8,12,30.8,13,33.3,3,7.7,6,15.4,17,43.6
秋学期,GE70901,データベース技術,23,4,17.4,8,34.8,5,21.7,1,4.3,5,21.7,12,52.2
春学期,GE71001,情報デザインとインタフェース,38,6,15.8,17,44.7,4,10.5,1,2.6,10,26.3,23,60.5
秋学期,GE71701,テキスト処理,28,3,10.7,8,28.6,10,35.7,4,14.3,3,10.7,11,39.3
秋学期,GE71801,データ構造とアルゴリズム,14,5,35.7,3,21.4,3,21.4,1,7.1,2,14.3,8,57.1
秋学期,GE72201,アーカイブズの利用,30,5,16.7,3,10.0,12,40.0,4,13.3,6,20.0,8,26.7
秋学期,GE72501,メディアアート,19,6,31.6,8,42.1,2,10.5,1,5.3,2,10.5,14,73.7
秋学期,GE72801,知識資源の分類と索引,30,7,23.3,11,36.7,6,20.0,2,6.7,4,13.3,18,60.0
秋学期,GE80103,情報資源経営実習,49,5,10.2,22,44.9,22,44.9,0,0.0,0,0.0,27,55.1
秋学期,GE80201,図書館論,46,2,4.3,14,30.4,24,52.2,1,2.2,5,10.9,16,34.8
春学期,GE80301,学術情報基盤論,51,2,3.9,28,54.9,13,25.5,0,0.0,8,15.7,30,58.8
秋学期,GE80401,経営情報システム論,18,1,5.6,3,16.7,6,33.3,2,11.1,6,33.3,4,22.2
春学期,GE80501,情報サービス経営論,116,23,19.8,23,19.8,45,38.8,18,15.5,7,6.0,46,39.7
秋学期,GE80801,情報サービス構成論,25,0,0.0,10,40.0,11,44.0,2,8.0,2,8.0,10,40.0
秋学期,GE80901,コレクションとアクセス,94,3,3.2,39,41.5,32,34.0,11,11.7,9,9.6,42,44.7
秋学期,GE81101,メディア教育の実践と評価,32,2,6.3,8,25.0,13,40.6,7,21.9,2,6.3,10,31.3
秋学期,GE81201,学校図書館論,54,1,1.9,30,55.6,16,29.6,4,7.4,3,5.6,31,57.4
春学期,GE81301,情報法,53,5,9.4,15,28.3,27,50.9,3,5.7,3,5.7,20,37.7
秋学期,GE81401,知的財産権論A,14,1,7.1,3,21.4,8,57.1,1,7.1,1,7.1,4,28.6
秋学期,GE81901,図書館文化史論,61,4,6.6,33,54.1,16,26.2,2,3.3,6,9.8,37,60.7
春学期,GE82101,日本図書学,47,0,0.0,36,76.6,7,14.9,3,6.4,1,2.1,36,76.6
春学期,GE82201,アーカイブズの構築,43,2,4.7,12,27.9,26,60.5,1,2.3,2,4.7,14,32.6
秋学期,GE82601,パブリックガバナンス,83,7,8.4,13,15.7,18,21.7,37,44.6,8,9.6,20,24.1
秋学期,GE82701,インターネット動画メディア論,140,9,6.4,70,50.0,25,17.9,20,14.3,16,11.4,79,56.4
